fullVisitorID,subContinent,country,region,metro,city
7157626079567895669,Northern America,United States,Texas,Austin TX,Austin
358293611905184240,Southeast Asia,Philippines,Central Visayas,(not set),Cebu City
8825722961059493275,Northern Europe,United Kingdom,not available in demo dataset,not available in demo dataset,not available in demo dataset
5193965013430455128,Northern America,United States,California,San Francisco-Oakland-San Jose CA,San Bruno
0793874482369095202,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
1817256435818850257,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
4005605575873365444,Northern America,United States,New York,New York NY,New York
2509714289037323244,Northern America,United States,Texas,Austin TX,Austin
4642712737855870554,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
3843819088097691729,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
9993178476401172532,Northern America,Canada,not available in demo dataset,not available in demo dataset,not available in demo dataset
1060857658642961259,Central America,Mexico,not available in demo dataset,not available in demo dataset,not available in demo dataset
1439150231069374974,Northern America,United States,Washington,Seattle-Tacoma WA,Seattle
674626656635666685,Southern Asia,India,Delhi,(not set),New Delhi
1368220609907191551,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
9682363348505503136,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
4890176689513443468,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Sunnyvale
8821893673728116223,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
2519501167659119738,Eastern Asia,Japan,not available in demo dataset,not available in demo dataset,not available in demo dataset
9849723138964482903,Northern America,United States,California,San Francisco-Oakland-San Jose CA,San Francisco
3393266984599791046,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
6370895626479501172,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
4259087156506051404,Western Europe,Switzerland,not available in demo dataset,not available in demo dataset,not available in demo dataset
7688525234045688740,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
494121189234839790,Northern America,United States,Illinois,Chicago IL,Chicago
4652287826732444235,South America,Brazil,not available in demo dataset,not available in demo dataset,not available in demo dataset
0127234764050343351,Northern Europe,United Kingdom,not available in demo dataset,not available in demo dataset,not available in demo dataset
5166572114676000975,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
80533986466271934,Northern America,United States,California,Los Angeles CA,Irvine
2158742461682231369,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
8553346870455443503,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
834799491548640007,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
4834118369822066721,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Sunnyvale
2842895618476559410,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
8500478825159566764,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
4741032916677179123,Northern America,United States,California,San Francisco-Oakland-San Jose CA,San Francisco
9779770777585916245,Northern America,United States,California,Los Angeles CA,Los Angeles
6960772894161809181,Northern America,United States,Texas,Austin TX,Austin
1613869085928837147,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
2519663407845424469,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
0728735440890222177,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Sunnyvale
7915917649445719453,Northern America,United States,Massachusetts,Boston MA-Manchester NH,Cambridge
5545865256703329577,Eastern Asia,Japan,not available in demo dataset,not available in demo dataset,not available in demo dataset
2213191339240555860,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Sunnyvale
8779215719666644170,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Santa Clara
5173035161858804497,Northern Europe,United Kingdom,not available in demo dataset,not available in demo dataset,not available in demo dataset
0242260641211986209,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
8132563834178974953,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
3907770685196037697,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
8597027410485057111,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
1900406563824931678,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
708182136272724140,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
6604767229049497201,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Sunnyvale
9976748477294164726,Northern America,United States,California,San Francisco-Oakland-San Jose CA,San Francisco
0703071257327430346,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
0803766777397114425,Northern Europe,United Kingdom,not available in demo dataset,not available in demo dataset,not available in demo dataset
2779366116674268856,Australasia,Australia,not available in demo dataset,not available in demo dataset,not available in demo dataset
9493249883710631149,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
9085218887779640980,Northern America,United States,Virginia,Roanoke-Lynchburg VA,Salem
3547717276163025378,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
8422029627538180622,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
3517720271768758077,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Santa Clara
1882401858291805493,Western Europe,France,not available in demo dataset,not available in demo dataset,not available in demo dataset
5271693154474208456,Northern America,United States,Illinois,Chicago IL,Chicago
6579047524938382825,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Sunnyvale
789678791378176941,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
6966646264698722317,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Palo Alto
9533571845569362552,Northern America,United States,California,San Francisco-Oakland-San Jose CA,San Francisco
8430240768850820716,Northern America,United States,Michigan,Detroit MI,Ann Arbor
5310912563447452038,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
579368549092174659,Western Europe,Germany,not available in demo dataset,not available in demo dataset,not available in demo dataset
1076513025655678778,Northern America,United States,New York,New York NY,New York
7505340672525128933,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
406461230962938817,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
7270929847039069200,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
1978627755211436010,Eastern Asia,Taiwan,not available in demo dataset,not available in demo dataset,not available in demo dataset
116992034719575555,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
4961413465713332680,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
7666394839176567102,Southern Asia,India,not available in demo dataset,not available in demo dataset,not available in demo dataset
9801276214964695322,Northern America,United States,Virginia,Roanoke-Lynchburg VA,Salem
5014443002776077299,Northern Europe,United Kingdom,not available in demo dataset,not available in demo dataset,not available in demo dataset
365594903822101283,Southern Europe,Spain,not available in demo dataset,not available in demo dataset,not available in demo dataset
7629784540272591367,Southern Asia,India,Delhi,(not set),New Delhi
1641476689503533321,Northern America,United States,Illinois,Chicago IL,Chicago
5430848282423196998,Northern Europe,United Kingdom,England,London,London
5079847790435547812,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Sunnyvale
09643929456640790,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
8069796630919527574,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
3635754152765180885,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
0521800236999423025,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
1769164681262367221,Central America,Mexico,not available in demo dataset,not available in demo dataset,not available in demo dataset
4356368670265924289,Southeast Asia,Indonesia,not available in demo dataset,not available in demo dataset,not available in demo dataset
3142889679741524960,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
4033613882118163102,Southern Asia,Sri Lanka,not available in demo dataset,not available in demo dataset,not available in demo dataset
0657885132759378144,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
4220154440291082400,Northern Europe,United Kingdom,not available in demo dataset,not available in demo dataset,not available in demo dataset
6787160235338713122,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
9290558425075999936,Southern Asia,Pakistan,Sindh,(not set),Karachi
2598179390836943384,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
4174312721111666274,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
2979602448351162096,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
6422467164885658062,Northern America,United States,Washington,Seattle-Tacoma WA,Seattle
1276631666870427430,Central America,Mexico,not available in demo dataset,not available in demo dataset,not available in demo dataset
0462674042152519432,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
4237630977862841427,Southern Europe,Italy,not available in demo dataset,not available in demo dataset,not available in demo dataset
8998597645420885788,Northern America,United States,New York,New York NY,New York
4500488192672905042,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
4572584574023002147,Northern America,United States,New York,New York NY,New York
5260117902407993152,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
3514489728933698435,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
3318240400202817641,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
835261853962402017,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
1183405708492269586,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
9054991367522580751,Northern America,United States,California,Los Angeles CA,Los Angeles
0957124016598662665,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
8585175393719798471,Northern America,Canada,not available in demo dataset,not available in demo dataset,not available in demo dataset
1723909349418867455,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
1352184627763482886,Southern Asia,India,Delhi,(not set),New Delhi
8879965876172125518,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
4421723853101106079,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
1492217702561732960,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
4831806810656894971,Northern America,United States,New York,New York NY,New York
7110111563027445389,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
6288323169575819768,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
7298538238612725446,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
5747223272231686932,Northern America,United States,California,San Francisco-Oakland-San Jose CA,San Jose
3634155159894530540,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
9425872524748709682,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
0913627188881033241,Northern America,United States,Pennsylvania,Pittsburgh PA,Pittsburgh
7533805118137456529,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
2706234469572620246,Australasia,Australia,not available in demo dataset,not available in demo dataset,not available in demo dataset
5170796697724154592,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
7077911844453000726,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
6787843339759445862,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
2821399818599619907,Northern America,United States,California,San Francisco-Oakland-San Jose CA,San Francisco
4415481794449507521,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
759030695331234675,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
1330052349357162314,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
5800900099410986003,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
3330738802699065081,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Sunnyvale
2111179064713208280,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
0959147575305606864,Southeast Asia,Malaysia,Federal Territory of Kuala Lumpur,(not set),Kuala Lumpur
2452888129343523931,Northern America,United States,California,San Francisco-Oakland-San Jose CA,San Francisco
8802933683938257671,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
505690627766188392,South America,Brazil,not available in demo dataset,not available in demo dataset,not available in demo dataset
8644414483864627655,Northern Europe,Sweden,not available in demo dataset,not available in demo dataset,not available in demo dataset
2047874584272208283,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
138537716219788506,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Santa Clara
9847625927626901147,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
3907770685196037697,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
5961761097538346074,South America,Venezuela,not available in demo dataset,not available in demo dataset,not available in demo dataset
5404227027418054953,Northern America,United States,Massachusetts,Boston MA-Manchester NH,Cambridge
4258053097075989576,Australasia,Australia,not available in demo dataset,not available in demo dataset,not available in demo dataset
3935754171050797809,Northern America,United States,California,San Francisco-Oakland-San Jose CA,San Francisco
0533043126087723849,Northern America,United States,District of Columbia,Washington DC (Hagerstown MD),Washington
5491202478171376258,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
9377639114402198049,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
2976178532750719771,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
1887525536715312831,Northern America,United States,California,San Francisco-Oakland-San Jose CA,San Francisco
4151172324885744289,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
0401568549668876404,Eastern Europe,Russia,not available in demo dataset,not available in demo dataset,not available in demo dataset
1889240718310950469,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
2703368790658666184,Eastern Asia,Japan,not available in demo dataset,not available in demo dataset,not available in demo dataset
9268008200873581059,Northern America,United States,California,San Francisco-Oakland-San Jose CA,San Bruno
3026163435419099099,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
0946568304929736127,Northern America,United States,Michigan,Detroit MI,Ann Arbor
2331572485952025433,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
8158003312239603025,Northern Europe,Estonia,not available in demo dataset,not available in demo dataset,not available in demo dataset
1074012291655531532,Northern Europe,United Kingdom,England,London,London
925629734318379812,Northern America,Canada,Quebec,(not set),Montreal
0341319689353253851,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
1605625902271121000,Western Europe,Netherlands,not available in demo dataset,not available in demo dataset,not available in demo dataset
0116436763018562710,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
000722514342430295,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
8319899131077539989,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
2317143886543006089,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
9782559705146002237,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
756857572086966774,Northern America,United States,New York,New York NY,New York
7687406337661702709,Northern America,United States,Virginia,Roanoke-Lynchburg VA,Salem
925450609847802842,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
0161103620003490662,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
7718623669497357235,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
0459084326224596664,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
7334027332650026089,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
4572584574023002147,Northern America,United States,New York,New York NY,New York
3444514318939246165,Northern Europe,United Kingdom,not available in demo dataset,not available in demo dataset,not available in demo dataset
7039712579733841787,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
7503372490716009432,Western Europe,Germany,not available in demo dataset,not available in demo dataset,not available in demo dataset
9677816246706455875,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
6444666378259866837,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
6135774816150725612,Southern Asia,Pakistan,Sindh,(not set),Karachi
8198513440170816734,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
4174673980383629957,Eastern Asia,Taiwan,not available in demo dataset,not available in demo dataset,not available in demo dataset
2499073159297778675,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
6375532442615564447,Southern Asia,India,Tamil Nadu,(not set),Chennai
4691971393212178659,Southeast Asia,Philippines,Central Visayas,(not set),Cebu City
1817256435818850257,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
7815166845235232089,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
2620481260679179875,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
8280805974080139588,Southern Asia,India,not available in demo dataset,not available in demo dataset,not available in demo dataset
494915149919585281,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
3997937353086624166,Northern America,United States,New York,New York NY,New York
6595734076084637031,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
0872675904537373864,Northern America,United States,New York,New York NY,New York
3105496268124422764,Central America,Mexico,not available in demo dataset,not available in demo dataset,not available in demo dataset
6401018550057682991,Southern Asia,India,Delhi,(not set),New Delhi
5655816441964563984,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
4703900907627844850,Northern America,Canada,Quebec,(not set),Montreal
0396486246551917147,Northern America,United States,Illinois,Chicago IL,Chicago
3269929874874638846,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
3057842967445471784,Northern America,United States,California,San Francisco-Oakland-San Jose CA,San Francisco
7205449092152064425,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
9760803449256875420,Southern Asia,Sri Lanka,not available in demo dataset,not available in demo dataset,not available in demo dataset
9282337552638739171,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
7335387188572255149,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
9576613996350682765,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
4590171872917314050,Northern Europe,United Kingdom,not available in demo dataset,not available in demo dataset,not available in demo dataset
9966493560312992908,Northern America,Canada,Quebec,(not set),Montreal
3126493267998651969,Northern America,United States,California,Los Angeles CA,Irvine
76744637389790896,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
8377004764015899559,Southern Asia,India,not available in demo dataset,not available in demo dataset,not available in demo dataset
7007431728473096243,Northern America,United States,New York,New York NY,New York
9152536486803427969,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
5006195237960872707,Southern Europe,Spain,not available in demo dataset,not available in demo dataset,not available in demo dataset
8562504397643086482,South America,Argentina,not available in demo dataset,not available in demo dataset,not available in demo dataset
3267289685695286777,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
6891579531332176887,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
3580452052961178709,Northern America,United States,Pennsylvania,Pittsburgh PA,Pittsburgh
0354092695831923417,South America,Peru,not available in demo dataset,not available in demo dataset,not available in demo dataset
5761840295662617853,Eastern Asia,Hong Kong,(not set),(not set),(not set)
5608218146631757534,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Sunnyvale
8354961261344283153,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
098821159809198055,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
4621003505955733083,Northern America,United States,California,San Francisco-Oakland-San Jose CA,San Francisco
5457966268582392647,Northern America,United States,California,Los Angeles CA,Los Angeles
4081324366412530455,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
8443152750706781913,Central America,Panama,(not set),(not set),(not set)
7335387188572255149,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View
9509805417263426377,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
3747893768799586469,Northern America,United States,New York,New York NY,New York
0476336740806624508,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
6864637730296714893,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
1625612495467726234,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset
7854260418222913384,Northern America,United States,New York,New York NY,New York
1905929349583388322,Northern America,United States,New York,New York NY,New York
3063898855332866361,Northern America,Canada,Quebec,(not set),Montreal
5469592340519286418,Northern America,United States,California,San Francisco-Oakland-San Jose CA,San Francisco
