fullVisitorID,continent,subContinent,country
8821893673728116223,Americas,Northern America,United States
2519501167659119738,Asia,Eastern Asia,Japan
9849723138964482903,Americas,Northern America,United States
3393266984599791046,Americas,Northern America,United States
6370895626479501172,Americas,Northern America,United States
4259087156506051404,Europe,Western Europe,Switzerland
7688525234045688740,Americas,Northern America,United States
494121189234839790,Americas,Northern America,United States
4652287826732444235,Americas,South America,Brazil
0127234764050343351,Europe,Northern Europe,United Kingdom
5166572114676000975,Americas,Northern America,United States
80533986466271934,Americas,Northern America,United States
2158742461682231369,Americas,Northern America,United States
8553346870455443503,Americas,Northern America,United States
834799491548640007,Americas,Northern America,United States
4834118369822066721,Americas,Northern America,United States
2842895618476559410,Americas,Northern America,United States
8500478825159566764,Americas,Northern America,United States
4741032916677179123,Americas,Northern America,United States
9779770777585916245,Americas,Northern America,United States
6960772894161809181,Americas,Northern America,United States
1613869085928837147,Americas,Northern America,United States
2519663407845424469,Americas,Northern America,United States
0728735440890222177,Americas,Northern America,United States
7915917649445719453,Americas,Northern America,United States
5545865256703329577,Asia,Eastern Asia,Japan
2213191339240555860,Americas,Northern America,United States
8779215719666644170,Americas,Northern America,United States
5173035161858804497,Europe,Northern Europe,United Kingdom
0242260641211986209,Americas,Northern America,United States
8132563834178974953,Americas,Northern America,United States
3907770685196037697,Americas,Northern America,United States
8597027410485057111,Americas,Northern America,United States
1900406563824931678,Americas,Northern America,United States
708182136272724140,Americas,Northern America,United States
6604767229049497201,Americas,Northern America,United States
9976748477294164726,Americas,Northern America,United States
0703071257327430346,Americas,Northern America,United States
0803766777397114425,Europe,Northern Europe,United Kingdom
2779366116674268856,Oceania,Australasia,Australia
9493249883710631149,Americas,Northern America,United States
9085218887779640980,Americas,Northern America,United States
3547717276163025378,Americas,Northern America,United States
8422029627538180622,Americas,Northern America,United States
3517720271768758077,Americas,Northern America,United States
1882401858291805493,Europe,Western Europe,France
5271693154474208456,Americas,Northern America,United States
6579047524938382825,Americas,Northern America,United States
789678791378176941,Americas,Northern America,United States
6966646264698722317,Americas,Northern America,United States
9533571845569362552,Americas,Northern America,United States
8430240768850820716,Americas,Northern America,United States
5310912563447452038,Americas,Northern America,United States
579368549092174659,Europe,Western Europe,Germany
1076513025655678778,Americas,Northern America,United States
7505340672525128933,Americas,Northern America,United States
406461230962938817,Americas,Northern America,United States
7270929847039069200,Americas,Northern America,United States
1978627755211436010,Asia,Eastern Asia,Taiwan
116992034719575555,Americas,Northern America,United States
4961413465713332680,Americas,Northern America,United States
7666394839176567102,Asia,Southern Asia,India
9801276214964695322,Americas,Northern America,United States
5014443002776077299,Europe,Northern Europe,United Kingdom
365594903822101283,Europe,Southern Europe,Spain
7629784540272591367,Asia,Southern Asia,India
1641476689503533321,Americas,Northern America,United States
5430848282423196998,Europe,Northern Europe,United Kingdom
5079847790435547812,Americas,Northern America,United States
09643929456640790,Americas,Northern America,United States
8069796630919527574,Americas,Northern America,United States
3635754152765180885,Americas,Northern America,United States
0521800236999423025,Americas,Northern America,United States
1769164681262367221,Americas,Central America,Mexico
4356368670265924289,Asia,Southeast Asia,Indonesia
3142889679741524960,Americas,Northern America,United States
4033613882118163102,Asia,Southern Asia,Sri Lanka
0657885132759378144,Americas,Northern America,United States
4220154440291082400,Europe,Northern Europe,United Kingdom
6787160235338713122,Americas,Northern America,United States
9290558425075999936,Asia,Southern Asia,Pakistan
2598179390836943384,Americas,Northern America,United States
4174312721111666274,Americas,Northern America,United States
2979602448351162096,Americas,Northern America,United States
6422467164885658062,Americas,Northern America,United States
1276631666870427430,Americas,Central America,Mexico
0462674042152519432,Americas,Northern America,United States
4237630977862841427,Europe,Southern Europe,Italy
8998597645420885788,Americas,Northern America,United States
4500488192672905042,Americas,Northern America,United States
4572584574023002147,Americas,Northern America,United States
5260117902407993152,Americas,Northern America,United States
3514489728933698435,Americas,Northern America,United States
3318240400202817641,Americas,Northern America,United States
835261853962402017,Americas,Northern America,United States
1183405708492269586,Americas,Northern America,United States
9054991367522580751,Americas,Northern America,United States
0957124016598662665,Americas,Northern America,United States
8585175393719798471,Americas,Northern America,Canada
1723909349418867455,Americas,Northern America,United States
1352184627763482886,Asia,Southern Asia,India
8879965876172125518,Americas,Northern America,United States
4421723853101106079,Americas,Northern America,United States
1492217702561732960,Americas,Northern America,United States
4831806810656894971,Americas,Northern America,United States
7110111563027445389,Americas,Northern America,United States
6288323169575819768,Americas,Northern America,United States
7298538238612725446,Americas,Northern America,United States
5747223272231686932,Americas,Northern America,United States
3634155159894530540,Americas,Northern America,United States
9425872524748709682,Americas,Northern America,United States
0913627188881033241,Americas,Northern America,United States
7533805118137456529,Americas,Northern America,United States
2706234469572620246,Oceania,Australasia,Australia
5170796697724154592,Americas,Northern America,United States
7077911844453000726,Americas,Northern America,United States
6787843339759445862,Americas,Northern America,United States
2821399818599619907,Americas,Northern America,United States
4415481794449507521,Americas,Northern America,United States
759030695331234675,Americas,Northern America,United States
1330052349357162314,Americas,Northern America,United States
5800900099410986003,Americas,Northern America,United States
3330738802699065081,Americas,Northern America,United States
2111179064713208280,Americas,Northern America,United States
0959147575305606864,Asia,Southeast Asia,Malaysia
2452888129343523931,Americas,Northern America,United States
8802933683938257671,Americas,Northern America,United States
505690627766188392,Americas,South America,Brazil
8644414483864627655,Europe,Northern Europe,Sweden
2047874584272208283,Americas,Northern America,United States
138537716219788506,Americas,Northern America,United States
9847625927626901147,Americas,Northern America,United States
3907770685196037697,Americas,Northern America,United States
5961761097538346074,Americas,South America,Venezuela
5404227027418054953,Americas,Northern America,United States
4258053097075989576,Oceania,Australasia,Australia
3935754171050797809,Americas,Northern America,United States
0533043126087723849,Americas,Northern America,United States
5491202478171376258,Americas,Northern America,United States
9377639114402198049,Americas,Northern America,United States
2976178532750719771,Americas,Northern America,United States
1887525536715312831,Americas,Northern America,United States
4151172324885744289,Americas,Northern America,United States
0401568549668876404,Europe,Eastern Europe,Russia
1889240718310950469,Americas,Northern America,United States
2703368790658666184,Asia,Eastern Asia,Japan
9268008200873581059,Americas,Northern America,United States
3026163435419099099,Americas,Northern America,United States
0946568304929736127,Americas,Northern America,United States
2331572485952025433,Americas,Northern America,United States
8158003312239603025,Europe,Northern Europe,Estonia
1074012291655531532,Europe,Northern Europe,United Kingdom
925629734318379812,Americas,Northern America,Canada
0341319689353253851,Americas,Northern America,United States
1605625902271121000,Europe,Western Europe,Netherlands
0116436763018562710,Americas,Northern America,United States
000722514342430295,Americas,Northern America,United States
8319899131077539989,Americas,Northern America,United States
2317143886543006089,Americas,Northern America,United States
9782559705146002237,Americas,Northern America,United States
756857572086966774,Americas,Northern America,United States
7687406337661702709,Americas,Northern America,United States
925450609847802842,Americas,Northern America,United States
0161103620003490662,Americas,Northern America,United States
7718623669497357235,Americas,Northern America,United States
0459084326224596664,Americas,Northern America,United States
7334027332650026089,Americas,Northern America,United States
4572584574023002147,Americas,Northern America,United States
3444514318939246165,Europe,Northern Europe,United Kingdom
7039712579733841787,Americas,Northern America,United States
7503372490716009432,Europe,Western Europe,Germany
9677816246706455875,Americas,Northern America,United States
6444666378259866837,Americas,Northern America,United States
6135774816150725612,Asia,Southern Asia,Pakistan
8198513440170816734,Americas,Northern America,United States
4174673980383629957,Asia,Eastern Asia,Taiwan
2499073159297778675,Americas,Northern America,United States
6375532442615564447,Asia,Southern Asia,India
4691971393212178659,Asia,Southeast Asia,Philippines
1817256435818850257,Americas,Northern America,United States
7815166845235232089,Americas,Northern America,United States
2620481260679179875,Americas,Northern America,United States
8280805974080139588,Asia,Southern Asia,India
494915149919585281,Americas,Northern America,United States
3997937353086624166,Americas,Northern America,United States
6595734076084637031,Americas,Northern America,United States
0872675904537373864,Americas,Northern America,United States
3105496268124422764,Americas,Central America,Mexico
6401018550057682991,Asia,Southern Asia,India
5655816441964563984,Americas,Northern America,United States
4703900907627844850,Americas,Northern America,Canada
0396486246551917147,Americas,Northern America,United States
3269929874874638846,Americas,Northern America,United States
3057842967445471784,Americas,Northern America,United States
7205449092152064425,Americas,Northern America,United States
9760803449256875420,Asia,Southern Asia,Sri Lanka
9282337552638739171,Americas,Northern America,United States
7335387188572255149,Americas,Northern America,United States
9576613996350682765,Americas,Northern America,United States
4590171872917314050,Europe,Northern Europe,United Kingdom
9966493560312992908,Americas,Northern America,Canada
3126493267998651969,Americas,Northern America,United States
76744637389790896,Americas,Northern America,United States
8377004764015899559,Asia,Southern Asia,India
7007431728473096243,Americas,Northern America,United States
9152536486803427969,Americas,Northern America,United States
5006195237960872707,Europe,Southern Europe,Spain
8562504397643086482,Americas,South America,Argentina
3267289685695286777,Americas,Northern America,United States
6891579531332176887,Americas,Northern America,United States
3580452052961178709,Americas,Northern America,United States
0354092695831923417,Americas,South America,Peru
5761840295662617853,Asia,Eastern Asia,Hong Kong
5608218146631757534,Americas,Northern America,United States
8354961261344283153,Americas,Northern America,United States
098821159809198055,Americas,Northern America,United States
4621003505955733083,Americas,Northern America,United States
5457966268582392647,Americas,Northern America,United States
4081324366412530455,Americas,Northern America,United States
8443152750706781913,Americas,Central America,Panama
7335387188572255149,Americas,Northern America,United States
9509805417263426377,Americas,Northern America,United States
3747893768799586469,Americas,Northern America,United States
0476336740806624508,Americas,Northern America,United States
6864637730296714893,Americas,Northern America,United States
1625612495467726234,Americas,Northern America,United States
7854260418222913384,Americas,Northern America,United States
1905929349583388322,Americas,Northern America,United States
3063898855332866361,Americas,Northern America,Canada
5469592340519286418,Americas,Northern America,United States
3662786672553497596,Europe,Western Europe,Netherlands
2363816821838994323,Americas,Northern America,United States
5716663734226378541,Americas,Northern America,United States
390423349709954340,Americas,Northern America,United States
4851076560952390809,Europe,Northern Europe,United Kingdom
2131831853796087522,Americas,Northern America,United States
0174999012345482367,Americas,Northern America,United States
6440320050638782751,Europe,Northern Europe,Denmark
1856749147915772585,Americas,Northern America,Canada
0709272184743066560,Americas,Northern America,United States
8237595922099299023,Americas,Northern America,United States
7451681150246556439,Americas,Northern America,Canada
0593150394512575588,Americas,Northern America,United States
3130645655077179934,Americas,South America,Peru
2343977100441805952,Oceania,Australasia,Australia
2276230046118857151,Americas,Northern America,United States
8344032354768501869,Americas,Northern America,United States
3522280126516023952,Asia,Eastern Asia,Taiwan
3910500230136916660,Americas,Northern America,United States
6744697227424119304,Americas,Northern America,United States
6211934679344931624,Americas,Northern America,United States
1749128084828375108,Americas,Northern America,United States
0212479256983706107,Europe,Southern Europe,Spain
8590555186939402677,Americas,Northern America,Canada
0553598010587869756,Americas,Northern America,United States
603373162136570069,Americas,Northern America,United States
2586654881267402138,Americas,Northern America,United States
1750514406451146951,Americas,Northern America,United States
6828760778804376817,Americas,Northern America,United States
593607024576642131,Europe,Western Europe,France
2215681073032687184,Americas,Northern America,United States
8719072487533399733,Americas,Northern America,Canada
2549728492461833238,Asia,Southern Asia,India
9878962654812700271,Americas,Northern America,United States
636466535079841240,Americas,Northern America,United States
2820652514257258467,Americas,Northern America,United States
2511766854857818700,Americas,Northern America,United States
5700972772870493639,Americas,Northern America,United States
7027129382380641443,Americas,Northern America,United States
1292918695745531394,Americas,Northern America,United States
6847217672772231661,Americas,Northern America,United States
6926161835587768681,Asia,Southern Asia,India
762295638846925704,Americas,South America,Venezuela
1757409464136963580,Americas,Northern America,United States
0167277143072555656,Americas,Northern America,United States
8583756899584588368,Americas,Northern America,United States
9518384605133293021,Americas,Northern America,United States
0413919359640783978,Europe,Western Europe,Belgium
2889377910436375292,Americas,Northern America,United States
4724930710879594248,Americas,Northern America,United States
4199367541035485910,Americas,Northern America,United States
987914185693056506,Europe,Southern Europe,Portugal
0901040675559923659,Asia,Southeast Asia,Malaysia
3884791411084599214,Americas,Northern America,United States
5773173424977778287,Americas,Northern America,United States
798691020264746304,Americas,Northern America,United States
6366316989927168370,Americas,Northern America,United States
5541567883792921967,Americas,Northern America,United States
5760753352577829144,Americas,Northern America,United States
3907770685196037697,Americas,Northern America,United States
8505854664680870109,Asia,Eastern Asia,Japan
258194871216000308,Asia,Southern Asia,India
5761840295662617853,Asia,Eastern Asia,Hong Kong
9159285916228638348,Americas,Northern America,United States
9116763220411859349,Americas,Northern America,United States
0813074379715507848,Americas,Northern America,United States
3881791618115740942,Americas,Northern America,United States
5705587814808849172,Americas,Northern America,United States
6295937732413829157,Asia,Southeast Asia,Vietnam
8741658912440878935,Americas,South America,Brazil
2775333805699294537,Americas,Northern America,United States
2213319842456651432,Americas,Northern America,United States
1856237131266550302,Americas,Northern America,United States
5604003575246779979,Americas,Northern America,United States
8542570651342039948,Asia,Southeast Asia,Malaysia
174711949982221362,Americas,Northern America,United States
2310283151871955061,Americas,Northern America,United States
0513367219376405875,Americas,Northern America,United States
4241418287933709447,Americas,Northern America,United States
2506112552623796443,Americas,Northern America,United States
1094601935519168096,Americas,Northern America,United States
7192936906150446002,Americas,Northern America,United States
1982922306734736460,Americas,Northern America,United States
3625388336199393256,Americas,Northern America,United States
7455063974124636385,Americas,Northern America,Canada
5187671474409178153,Americas,Northern America,United States
4697674744990809143,Americas,Northern America,United States
3638103956107835422,Americas,Northern America,United States
689975324856739942,Americas,Northern America,United States
1219325807742188295,Americas,Northern America,United States
0015694432801235877,Americas,Northern America,United States
5324270365925211209,Americas,Northern America,United States
7314017156048253837,Oceania,Australasia,New Zealand
7533805118137456529,Americas,Northern America,United States
758577373703531857,Americas,Northern America,United States
4295023008719306245,Africa,Northern Africa,Tunisia
0824646283836949461,Americas,Northern America,United States
0832322939999728199,Americas,Northern America,United States
7348043856224640094,Asia,Western Asia,Turkey
3907770685196037697,Americas,Northern America,United States
1677406339586950802,Americas,Northern America,Canada
0403454456389348844,Americas,Northern America,Canada
9868339371386523708,Americas,Northern America,United States
7108681342006406745,Americas,Northern America,United States
6426372536562896996,Americas,Northern America,United States
3058241021846504096,Americas,Northern America,United States
373784500636702964,Europe,Southern Europe,Italy
9795143290551478465,Americas,Northern America,United States
5923605856827327918,Americas,Northern America,United States
0981575239309066644,Asia,Southeast Asia,Thailand
1626716998556233354,Americas,Northern America,United States
3661163348027738918,Americas,Northern America,United States
8131745029417163398,Americas,Northern America,United States
5457341708050484439,Americas,Northern America,United States
0690330955242089309,Americas,Northern America,United States
4488234939678302618,Americas,Northern America,United States
8041179583157231807,Asia,Southeast Asia,Singapore
2694708692574296124,Americas,Northern America,United States
3444514318939246165,Europe,Northern Europe,United Kingdom
5228340108314802662,Americas,Northern America,United States
2882577556953103385,Americas,Northern America,Canada
7205403425666018308,Americas,Northern America,United States
0161103620003490662,Americas,Northern America,United States
23423439498373464,Americas,Northern America,United States
3936844640958989282,Asia,Southeast Asia,Malaysia
0341319689353253851,Americas,Northern America,United States
2327929995090924019,Americas,Northern America,United States
6800613735805802605,Americas,Northern America,United States
105918627300418509,Americas,Northern America,United States
4798058133221713505,Americas,Northern America,Canada
5836331037143212564,Asia,Eastern Asia,Taiwan
96828372717775055,Americas,Northern America,United States
7577555488698756006,Americas,Northern America,United States
1599273251148489928,Europe,Western Europe,Germany
5188974751841750198,Europe,Eastern Europe,Russia
7275493482741180809,Americas,Northern America,United States
326713960184415917,Americas,Northern America,United States
5719519864455942687,Americas,Northern America,Canada
1003838192988579723,Americas,Northern America,United States
606435179693837147,Americas,Northern America,United States
0482843755681270604,Americas,Northern America,United States
4336586112200183177,Europe,Eastern Europe,Russia
1630080920415753288,Americas,Northern America,United States
9267974830205623895,Americas,Northern America,United States
4657065526573368452,Americas,Northern America,United States
9060849750997331558,Americas,Northern America,United States
5344667959214571153,Americas,Northern America,United States
2716049628699698602,Americas,Northern America,United States
0261203701989483879,Americas,Northern America,United States
2611645231825416631,Europe,Northern Europe,Sweden
5697982501959734404,Americas,Northern America,United States
9133150929083418260,Europe,Northern Europe,Norway
7010462500294643960,Americas,Northern America,United States
1242181467370730486,Americas,Northern America,United States
8708067857860380883,Americas,Northern America,United States
0121227660543631149,Asia,Eastern Asia,Taiwan
6526752225691972183,Americas,Northern America,United States
0999951502366886191,Americas,Northern America,United States
759364034746328963,Asia,Southern Asia,India
3608196374724519087,Americas,Northern America,United States
3320119973962642543,Americas,Northern America,United States
8109664436025857507,Americas,Northern America,United States
1644562297167206343,Asia,Southern Asia,India
6715732375285289961,Asia,Eastern Asia,Japan
0174999012345482367,Americas,Northern America,United States
1078366177591833433,Americas,Northern America,United States
9082112881592138849,Europe,Eastern Europe,Poland
871675557963907195,Americas,South America,Brazil
384088448748841648,Americas,Northern America,United States
9715374816220032822,Americas,Northern America,United States
6446851903014760312,Americas,Northern America,United States
4936144893588506157,Americas,Northern America,United States
7917704081634641311,Americas,Northern America,United States
807191525675674136,Americas,Northern America,United States
464908394088842997,Americas,Northern America,United States
3016857027452005187,Americas,Northern America,United States
4384582438292594523,Americas,Northern America,United States
4849884385056788691,Americas,Northern America,United States
9446075047835972433,Americas,Northern America,United States
4698004949564442325,Americas,Northern America,United States
1631967168820223837,Americas,Northern America,United States
665785595149092081,Europe,Northern Europe,United Kingdom
9035306047185052141,Americas,Northern America,United States
8271170844108113200,Americas,Northern America,United States
3823831209442004233,Americas,Northern America,United States
1967121593241172100,Europe,Northern Europe,United Kingdom
7866774640817178857,Americas,Northern America,United States
7765335078471845903,Americas,Northern America,United States
2371112886977263623,Americas,Northern America,United States
4851694972796487097,Americas,Northern America,United States
9993204973689965101,Europe,Eastern Europe,Bulgaria
079785550312480399,Americas,Northern America,United States
843306899918749327,Americas,Northern America,United States
3754515888221881941,Americas,Northern America,United States
9650541762607480820,Americas,Northern America,United States
6748817685338407600,Asia,Southeast Asia,Vietnam
2296933856601873056,Americas,Northern America,United States
1033366144628740081,Americas,Northern America,United States
7438743588318957122,Americas,Northern America,United States
6394831228618183658,Americas,Northern America,United States
0437273981466271229,Americas,Northern America,United States
4116055325627256034,Americas,Northern America,United States
9743544249024499762,Americas,Northern America,United States
0628708827036512143,Americas,Northern America,United States
4701185974045728607,Americas,Northern America,United States
8567974717569039751,Americas,Northern America,United States
0382398254804709368,Americas,Northern America,United States
3369132208689322709,Asia,Eastern Asia,Taiwan
057665938225418659,Americas,Caribbean,Haiti
6294498685685853129,Oceania,Australasia,New Zealand
4534107900812583124,Asia,Eastern Asia,Taiwan
1723981563106392466,Americas,Northern America,United States
9220733487783253932,Americas,Northern America,Canada
504527166889560577,Americas,Northern America,United States
4384990792205822883,Europe,Southern Europe,Portugal
1106555359375998536,Americas,Northern America,United States
0541415792766009896,Americas,Northern America,United States
1739823917347946740,Americas,Northern America,United States
350616841177147864,Americas,Northern America,United States
2217418288172715379,Americas,Northern America,United States
2478708775280238505,Americas,Northern America,United States
7103321195030738247,Americas,Northern America,United States
5106315619134282281,Americas,Northern America,United States
3608467442254520408,Americas,Northern America,United States
7138879142579197491,Americas,Northern America,United States
5117883250816491401,Asia,Southern Asia,India
9377768468469703794,Asia,Southeast Asia,Philippines
2972472695838198418,Americas,Northern America,United States
9065508646546984599,Americas,Northern America,United States
5240826968570680211,Americas,Northern America,United States
7056870819058799369,Americas,Northern America,United States
481136536823294889,Asia,Eastern Asia,South Korea
3936844640958989282,Asia,Southeast Asia,Malaysia
3890853151729449223,Americas,Northern America,United States
7051718074744690705,Americas,Northern America,United States
7661113009266719556,Americas,Northern America,United States
8844262168616364981,Americas,Northern America,United States
368977670377176571,Americas,Northern America,United States
7426174364050388533,Americas,Northern America,United States
5946672336805397304,Americas,Northern America,United States
2775333805699294537,Americas,Northern America,United States
1669777926634508233,Europe,Northern Europe,United Kingdom
8346614539128137085,Americas,Northern America,United States
2115386512530006397,Americas,Northern America,United States
7708575291679364151,Americas,Northern America,United States
3067333294832179853,Americas,Northern America,United States
6030957980134486247,Americas,Central America,Mexico
6170265019437280323,Americas,Northern America,United States
2652098492843037268,Americas,Northern America,United States
7970801744441139347,Asia,Eastern Asia,Japan
1403632269796083949,Asia,Southern Asia,India
5530732783475247643,Americas,Northern America,United States
6932408648900988870,Americas,Northern America,United States
9358167394549270312,Americas,Northern America,United States
4424921723551438567,Asia,Southern Asia,Pakistan
1343892784443318387,Americas,Northern America,United States
172600853716850454,Americas,Northern America,United States
7512789166007226631,Asia,Western Asia,Turkey
8207362494606500607,Americas,Northern America,United States
711432706839362141,Americas,Northern America,United States
0750611892691038410,Americas,Northern America,United States
5540991611284577933,Americas,Northern America,United States
7002235067002565049,Americas,Northern America,Canada
8438615943594533815,Americas,Northern America,United States
8303744919817460764,Americas,Northern America,United States
8640435391065630517,Americas,South America,Peru
4890594302415608916,Europe,Southern Europe,Spain
5759903822809248402,Americas,Northern America,United States
8782513642833614098,Americas,Northern America,United States
1924553142818813976,Americas,Northern America,United States
0161103620003490662,Americas,Northern America,United States
3709999704956265072,Americas,Northern America,United States
7816450317892721085,Americas,Northern America,Canada
9883000500364208923,Americas,Northern America,United States
211067802416163706,Europe,Eastern Europe,Russia
3047968373711472876,Americas,Northern America,United States
3452302189809534579,Americas,Northern America,United States
3738755573768380864,Americas,Northern America,Canada
5267883768915568721,Americas,Northern America,United States
1302490964849403553,Asia,Eastern Asia,Japan
2795402033797871386,Americas,Northern America,United States
0609326100006985856,Americas,Northern America,United States
109478348209300995,Americas,Northern America,United States
0887754557131989783,Americas,Northern America,United States
3347789288868084300,Americas,Northern America,United States
4941770276769705740,Americas,Northern America,United States
9678469301590366177,Americas,Northern America,United States
185886403613744695,Americas,Northern America,Canada
0667801358610608122,Americas,Northern America,United States
4184527786990826304,Americas,Northern America,United States
6091498163535424271,Americas,Northern America,United States
6257871557133780030,Americas,Northern America,Canada
1076513025655678778,Americas,Northern America,United States
31490038171426725,Americas,Northern America,United States
1662833536389293085,Americas,Northern America,United States
001747219368939605,Europe,Southern Europe,Spain
4758564487125779949,Americas,Northern America,United States
6519373117236859321,Americas,Northern America,United States
5129303495459541871,Americas,Northern America,United States
6203401114057579951,Americas,Northern America,United States
0451515753972272081,Americas,Northern America,United States
3606096616141145329,Americas,Northern America,United States
1504442874052757742,Americas,Northern America,United States
7781987324145448581,Americas,Northern America,United States
8144887345147571750,Americas,Northern America,United States
5719213140589922004,Americas,Northern America,United States
4539850635972033953,Europe,Northern Europe,United Kingdom
7803172593096160119,Americas,Central America,Costa Rica
4254077777097557601,Americas,Northern America,United States
024133145794646739,Americas,Northern America,United States
4061386306679952654,Americas,Northern America,United States
9485654033951448587,Americas,Northern America,United States
4943724707143454002,Americas,Northern America,United States
5490488281230795745,Europe,Northern Europe,Finland
2620481260679179875,Americas,Northern America,United States
5028358764893417263,Americas,Northern America,United States
8207362494606500607,Americas,Northern America,United States
432198110923477013,Europe,Northern Europe,United Kingdom
8436426603099391262,Americas,Northern America,United States
0928429216085865673,Americas,Northern America,United States
4119670571587062780,Americas,Northern America,United States
4631129802514106099,Americas,Northern America,United States
5963471621704219473,Americas,Northern America,United States
0384873228921337077,Americas,Northern America,United States
0538499578496971765,Americas,Northern America,United States
5946672336805397304,Americas,Northern America,United States
6705441060490938466,Americas,Northern America,United States
5563168194966233133,Americas,Northern America,United States
7614028868724779177,Americas,Northern America,United States
6027268712782791947,Americas,Northern America,United States
1757074615507989305,Asia,Eastern Asia,Hong Kong
1426533350286376573,Americas,Northern America,United States
1434758333813758523,Americas,Northern America,United States
