fullVisitorID,browser,operatingSystem,deviceCategory
8436426603099391262,Chrome,Macintosh,desktop
5221215576603815484,Chrome,Windows,desktop
6981691734539296402,Chrome,iOS,mobile
121295653097861536,Chrome,Windows,desktop
3787134985295919795,Chrome,iOS,mobile
6062692528026913835,Chrome,Macintosh,desktop
5820481070166950233,Chrome,Windows,desktop
6202551162320501793,Chrome,Windows,desktop
6359841587657357338,Chrome,Linux,desktop
7545615511078513943,Safari,iOS,mobile
5882258963347216049,Chrome,Android,tablet
1188397610560498241,Safari,Macintosh,desktop
7009176709240157276,Chrome,Android,mobile
2869886758561013518,Chrome,Macintosh,desktop
584186909754430703,Chrome,Android,tablet
5622119904627470425,Chrome,Macintosh,desktop
0824839726118485274,Chrome,Windows,desktop
8675769146751606586,Chrome,Windows,desktop
4904969714374913266,Safari,iOS,mobile
3970991392089882251,Chrome,Macintosh,desktop
9872679951861022740,Safari,iOS,mobile
3463054183716306407,Firefox,Macintosh,desktop
7275493482741180809,Chrome,Macintosh,desktop
6637957997898535918,Chrome,Windows,desktop
6362237262934311328,Chrome,Windows,desktop
9065074234812691512,Safari,iOS,mobile
9878962654812700271,Chrome,Windows,desktop
5231073281895209426,Chrome,Windows,desktop
6842770750697615080,Chrome,Android,mobile
9190094819702613002,Chrome,Macintosh,desktop
8952006223234542590,Chrome,Windows,desktop
7428592908976647992,Safari,iOS,mobile
7157626079567895669,Chrome,Macintosh,desktop
358293611905184240,Chrome,Windows,desktop
8825722961059493275,Safari,iOS,mobile
5193965013430455128,Chrome,Macintosh,desktop
0793874482369095202,Chrome,Windows,desktop
1817256435818850257,Chrome,Macintosh,desktop
4005605575873365444,Chrome,Linux,desktop
2509714289037323244,Chrome,Macintosh,desktop
4642712737855870554,Chrome,Android,mobile
3843819088097691729,Chrome,Android,mobile
9993178476401172532,Safari,iOS,tablet
1060857658642961259,Chrome,Windows,desktop
1439150231069374974,Safari,iOS,tablet
674626656635666685,Firefox,Linux,desktop
1368220609907191551,Chrome,Macintosh,desktop
9682363348505503136,Safari,iOS,mobile
4890176689513443468,Chrome,Chrome OS,desktop
8821893673728116223,Chrome,Macintosh,desktop
2519501167659119738,Chrome,Windows,desktop
9849723138964482903,Chrome,Windows,desktop
3393266984599791046,Chrome,Macintosh,desktop
6370895626479501172,Chrome,Chrome OS,desktop
4259087156506051404,Safari,Macintosh,desktop
7688525234045688740,Chrome,Windows,desktop
494121189234839790,Chrome,Macintosh,desktop
4652287826732444235,Chrome,Chrome OS,desktop
0127234764050343351,Internet Explorer,Windows,desktop
5166572114676000975,Chrome,Windows,desktop
80533986466271934,Chrome,Macintosh,desktop
2158742461682231369,Chrome,iOS,mobile
8553346870455443503,Safari,iOS,mobile
834799491548640007,Chrome,Macintosh,desktop
4834118369822066721,Chrome,Macintosh,desktop
2842895618476559410,Chrome,Android,tablet
8500478825159566764,Safari,iOS,mobile
4741032916677179123,Chrome,Android,mobile
9779770777585916245,Safari,iOS,mobile
6960772894161809181,Chrome,Macintosh,desktop
1613869085928837147,Safari,iOS,mobile
2519663407845424469,Chrome,Windows,desktop
0728735440890222177,Chrome,Macintosh,desktop
7915917649445719453,Chrome,Windows,desktop
5545865256703329577,Chrome,Macintosh,desktop
2213191339240555860,Chrome,Macintosh,desktop
8779215719666644170,Safari,iOS,tablet
5173035161858804497,Chrome,Windows,desktop
0242260641211986209,Chrome,Macintosh,desktop
8132563834178974953,Chrome,Macintosh,desktop
3907770685196037697,Chrome,Chrome OS,desktop
8597027410485057111,Chrome,Macintosh,desktop
1900406563824931678,Chrome,Windows,desktop
708182136272724140,Chrome,Macintosh,desktop
6604767229049497201,Chrome,Windows,desktop
9976748477294164726,Safari (in-app),iOS,mobile
0703071257327430346,Chrome,Macintosh,desktop
0803766777397114425,Chrome,Chrome OS,desktop
2779366116674268856,Chrome,Windows,desktop
9493249883710631149,Chrome,Macintosh,desktop
9085218887779640980,Internet Explorer,Windows,desktop
3547717276163025378,Safari,iOS,mobile
8422029627538180622,Chrome,Macintosh,desktop
3517720271768758077,Chrome,Chrome OS,desktop
1882401858291805493,Chrome,Macintosh,desktop
5271693154474208456,Chrome,Macintosh,desktop
6579047524938382825,Chrome,Macintosh,desktop
789678791378176941,Chrome,Windows,desktop
6966646264698722317,Chrome,Macintosh,desktop
9533571845569362552,Chrome,Android,mobile
8430240768850820716,Chrome,Macintosh,desktop
5310912563447452038,Chrome,Linux,desktop
579368549092174659,Safari,iOS,mobile
1076513025655678778,Chrome,Chrome OS,desktop
7505340672525128933,Chrome,Linux,desktop
406461230962938817,Chrome,Windows,desktop
7270929847039069200,Chrome,Chrome OS,desktop
1978627755211436010,Chrome,Windows,desktop
116992034719575555,Chrome,Windows,desktop
4961413465713332680,Chrome,Android,mobile
7666394839176567102,Safari,iOS,mobile
9801276214964695322,Chrome,Windows,desktop
5014443002776077299,Safari,iOS,mobile
365594903822101283,Firefox,Windows,desktop
7629784540272591367,Firefox,Linux,desktop
1641476689503533321,Safari,Windows Phone,mobile
5430848282423196998,Chrome,Windows,desktop
5079847790435547812,Chrome,iOS,mobile
09643929456640790,Chrome,Linux,desktop
8069796630919527574,Chrome,Chrome OS,desktop
3635754152765180885,Chrome,iOS,mobile
0521800236999423025,Safari,iOS,mobile
1769164681262367221,Chrome,Windows,desktop
4356368670265924289,Chrome,Windows,desktop
3142889679741524960,Chrome,Macintosh,desktop
4033613882118163102,Chrome,iOS,tablet
0657885132759378144,Chrome,Android,tablet
4220154440291082400,Chrome,Android,mobile
6787160235338713122,Chrome,Macintosh,desktop
9290558425075999936,Opera,Windows,desktop
2598179390836943384,Chrome,Windows,desktop
4174312721111666274,Chrome,Macintosh,desktop
2979602448351162096,Chrome,Macintosh,desktop
6422467164885658062,Chrome,Macintosh,desktop
1276631666870427430,Safari,Macintosh,desktop
0462674042152519432,Chrome,Android,mobile
4237630977862841427,Chrome,Macintosh,desktop
8998597645420885788,Chrome,Macintosh,desktop
4500488192672905042,Chrome,Linux,desktop
4572584574023002147,Chrome,Linux,desktop
5260117902407993152,Internet Explorer,Windows,desktop
3514489728933698435,Chrome,Macintosh,desktop
3318240400202817641,Chrome,Macintosh,desktop
835261853962402017,Chrome,Windows,desktop
1183405708492269586,Chrome,Macintosh,desktop
9054991367522580751,Chrome,Android,mobile
0957124016598662665,Chrome,Windows,desktop
8585175393719798471,Chrome,Android,mobile
1723909349418867455,Chrome,Macintosh,desktop
1352184627763482886,Chrome,Macintosh,desktop
8879965876172125518,Chrome,Macintosh,desktop
4421723853101106079,Chrome,Macintosh,desktop
1492217702561732960,Chrome,Windows,desktop
4831806810656894971,Firefox,Macintosh,desktop
7110111563027445389,Chrome,Macintosh,desktop
6288323169575819768,Chrome,Linux,desktop
7298538238612725446,Safari,iOS,mobile
5747223272231686932,Chrome,Android,mobile
3634155159894530540,Chrome,Linux,desktop
9425872524748709682,Chrome,Windows,desktop
0913627188881033241,Chrome,Macintosh,desktop
7533805118137456529,Chrome,Macintosh,desktop
2706234469572620246,Chrome,Windows,desktop
5170796697724154592,Chrome,Chrome OS,desktop
7077911844453000726,Chrome,Macintosh,desktop
6787843339759445862,Chrome,Macintosh,desktop
2821399818599619907,Chrome,Macintosh,desktop
4415481794449507521,Chrome,Macintosh,desktop
759030695331234675,Chrome,Macintosh,desktop
1330052349357162314,Chrome,Macintosh,desktop
5800900099410986003,Chrome,Macintosh,desktop
3330738802699065081,Chrome,Windows,desktop
2111179064713208280,Chrome,Linux,desktop
0959147575305606864,Chrome,Macintosh,desktop
2452888129343523931,Chrome,Android,mobile
8802933683938257671,Chrome,iOS,tablet
505690627766188392,Chrome,Windows,desktop
8644414483864627655,Chrome,Macintosh,desktop
2047874584272208283,Chrome,Macintosh,desktop
138537716219788506,Chrome,Macintosh,desktop
9847625927626901147,Chrome,Macintosh,desktop
3907770685196037697,Chrome,Chrome OS,desktop
5961761097538346074,Chrome,Windows,desktop
5404227027418054953,Chrome,Macintosh,desktop
4258053097075989576,Safari,Macintosh,desktop
3935754171050797809,Chrome,Android,mobile
0533043126087723849,Firefox,Windows,desktop
5491202478171376258,Chrome,Android,mobile
9377639114402198049,Chrome,Macintosh,desktop
2976178532750719771,Chrome,Windows,desktop
1887525536715312831,Chrome,Android,mobile
4151172324885744289,Chrome,Windows,desktop
0401568549668876404,Safari,Macintosh,desktop
1889240718310950469,Chrome,Linux,desktop
2703368790658666184,Firefox,Windows,desktop
9268008200873581059,Chrome,Windows,desktop
3026163435419099099,Chrome,Android,mobile
0946568304929736127,Chrome,Macintosh,desktop
2331572485952025433,Chrome,Macintosh,desktop
8158003312239603025,Chrome,Windows,desktop
1074012291655531532,Chrome,Windows,desktop
925629734318379812,Chrome,Chrome OS,desktop
0341319689353253851,Chrome,Windows,desktop
1605625902271121000,Firefox,Windows,desktop
0116436763018562710,Chrome,Linux,desktop
000722514342430295,Internet Explorer,Windows,mobile
8319899131077539989,Safari,iOS,mobile
2317143886543006089,Safari,iOS,mobile
9782559705146002237,Chrome,Macintosh,desktop
756857572086966774,Chrome,Chrome OS,desktop
7687406337661702709,Chrome,Windows,desktop
925450609847802842,Chrome,Windows,desktop
0161103620003490662,Chrome,Windows,desktop
7718623669497357235,Amazon Silk,Android,tablet
0459084326224596664,Chrome,Macintosh,desktop
7334027332650026089,Chrome,Macintosh,desktop
4572584574023002147,Chrome,Linux,desktop
3444514318939246165,Safari,Macintosh,desktop
7039712579733841787,Chrome,Android,mobile
7503372490716009432,Safari,Macintosh,desktop
9677816246706455875,Chrome,Macintosh,desktop
6444666378259866837,Chrome,Macintosh,desktop
6135774816150725612,Chrome,Windows,desktop
8198513440170816734,Chrome,Chrome OS,desktop
4174673980383629957,Chrome,Macintosh,desktop
2499073159297778675,Chrome,Chrome OS,desktop
6375532442615564447,Chrome,Windows,desktop
4691971393212178659,Chrome,iOS,tablet
1817256435818850257,Chrome,Macintosh,desktop
7815166845235232089,Chrome,Macintosh,desktop
2620481260679179875,Safari,iOS,mobile
8280805974080139588,UC Browser,Android,tablet
494915149919585281,Chrome,Linux,desktop
3997937353086624166,Chrome,Macintosh,desktop
6595734076084637031,Chrome,Chrome OS,desktop
0872675904537373864,Chrome,Macintosh,desktop
3105496268124422764,Chrome,Macintosh,desktop
6401018550057682991,Chrome,Windows,desktop
5655816441964563984,Chrome,Android,mobile
4703900907627844850,Chrome,Windows,desktop
0396486246551917147,Safari,Macintosh,desktop
3269929874874638846,Chrome,Android,tablet
3057842967445471784,Chrome,Windows,desktop
7205449092152064425,Safari,iOS,mobile
9760803449256875420,Chrome,Android,tablet
9282337552638739171,Chrome,Linux,desktop
7335387188572255149,Chrome,Macintosh,desktop
9576613996350682765,Chrome,Macintosh,desktop
4590171872917314050,Chrome,Android,mobile
9966493560312992908,Chrome,Windows,desktop
3126493267998651969,Chrome,Linux,desktop
76744637389790896,Chrome,Linux,desktop
8377004764015899559,Chrome,Android,mobile
7007431728473096243,Safari,iOS,mobile
9152536486803427969,Amazon Silk,Android,tablet
5006195237960872707,Chrome,Windows,desktop
8562504397643086482,Chrome,Windows,desktop
3267289685695286777,Safari,iOS,mobile
6891579531332176887,Chrome,Windows,desktop
3580452052961178709,Chrome,Linux,desktop
0354092695831923417,Chrome,Windows,desktop
5761840295662617853,Chrome,Chrome OS,desktop
5608218146631757534,Chrome,Macintosh,desktop
8354961261344283153,Chrome,Chrome OS,desktop
098821159809198055,Chrome,Windows,desktop
4621003505955733083,Chrome,Macintosh,desktop
5457966268582392647,Chrome,Macintosh,desktop
4081324366412530455,Chrome,Android,mobile
8443152750706781913,Chrome,Windows,desktop
7335387188572255149,Chrome,Macintosh,desktop
9509805417263426377,Safari,iOS,mobile
3747893768799586469,Chrome,Macintosh,desktop
0476336740806624508,Chrome,Android,mobile
6864637730296714893,Chrome,Android,tablet
1625612495467726234,Chrome,Android,mobile
7854260418222913384,Chrome,Windows,desktop
1905929349583388322,Chrome,Macintosh,desktop
3063898855332866361,Chrome,Windows,desktop
5469592340519286418,Safari,iOS,mobile
3662786672553497596,Chrome,Windows,desktop
2363816821838994323,Chrome,Linux,desktop
5716663734226378541,Chrome,Android,mobile
390423349709954340,Internet Explorer,Windows,desktop
4851076560952390809,Chrome,Windows,desktop
2131831853796087522,Safari,iOS,mobile
0174999012345482367,Chrome,Macintosh,desktop
6440320050638782751,Chrome,Windows,desktop
1856749147915772585,Firefox,Windows,desktop
0709272184743066560,Chrome,Chrome OS,desktop
8237595922099299023,Chrome,Macintosh,desktop
7451681150246556439,Chrome,Windows,desktop
0593150394512575588,Chrome,Windows,desktop
3130645655077179934,Chrome,Windows,desktop
2343977100441805952,Chrome,Linux,desktop
2276230046118857151,Chrome,Linux,desktop
8344032354768501869,Chrome,Macintosh,desktop
3522280126516023952,Chrome,Windows,desktop
3910500230136916660,Safari,Macintosh,desktop
6744697227424119304,Chrome,Windows,desktop
6211934679344931624,Chrome,Windows,desktop
1749128084828375108,Chrome,Android,mobile
0212479256983706107,Safari,iOS,mobile
8590555186939402677,Internet Explorer,Windows,desktop
0553598010587869756,Chrome,Chrome OS,desktop
603373162136570069,Chrome,Windows,desktop
2586654881267402138,Chrome,Android,mobile
1750514406451146951,Chrome,Macintosh,desktop
6828760778804376817,Safari,iOS,mobile
593607024576642131,Chrome,Chrome OS,desktop
2215681073032687184,Chrome,Macintosh,desktop
8719072487533399733,Chrome,Macintosh,desktop
2549728492461833238,Chrome,Android,mobile
9878962654812700271,Chrome,Windows,desktop
636466535079841240,Chrome,Macintosh,desktop
2820652514257258467,Chrome,Windows,desktop
2511766854857818700,Chrome,Macintosh,desktop
5700972772870493639,Chrome,Android,mobile
7027129382380641443,Chrome,Macintosh,desktop
1292918695745531394,Chrome,Windows,desktop
6847217672772231661,Chrome,Windows,desktop
6926161835587768681,Chrome,Macintosh,desktop
762295638846925704,Firefox,Windows,desktop
1757409464136963580,Chrome,Android,mobile
0167277143072555656,Chrome,Macintosh,desktop
8583756899584588368,Chrome,Macintosh,desktop
9518384605133293021,Chrome,Linux,desktop
0413919359640783978,Chrome,Android,mobile
2889377910436375292,Chrome,Linux,desktop
4724930710879594248,Chrome,Windows,desktop
4199367541035485910,Safari,iOS,mobile
987914185693056506,Chrome,Windows,desktop
0901040675559923659,Chrome,Windows,desktop
3884791411084599214,Chrome,Macintosh,desktop
5773173424977778287,Chrome,Macintosh,desktop
798691020264746304,Safari,Macintosh,desktop
6366316989927168370,Chrome,Linux,desktop
5541567883792921967,Chrome,Macintosh,desktop
5760753352577829144,Chrome,Linux,desktop
3907770685196037697,Chrome,Chrome OS,desktop
8505854664680870109,Chrome,Windows,desktop
258194871216000308,Chrome,Android,mobile
5761840295662617853,Chrome,Chrome OS,desktop
9159285916228638348,Chrome,Macintosh,desktop
9116763220411859349,Chrome,Windows,desktop
0813074379715507848,Chrome,Android,mobile
3881791618115740942,Chrome,Macintosh,desktop
5705587814808849172,Chrome,Macintosh,desktop
6295937732413829157,Safari,Macintosh,desktop
8741658912440878935,Chrome,Macintosh,desktop
2775333805699294537,Chrome,Windows,desktop
2213319842456651432,Safari,Macintosh,desktop
1856237131266550302,Chrome,Linux,desktop
5604003575246779979,Chrome,Linux,desktop
8542570651342039948,Chrome,Windows,desktop
174711949982221362,Chrome,Linux,desktop
2310283151871955061,Chrome,Macintosh,desktop
0513367219376405875,Chrome,Linux,desktop
4241418287933709447,Chrome,Linux,desktop
2506112552623796443,Chrome,Linux,desktop
1094601935519168096,Chrome,Macintosh,desktop
7192936906150446002,Chrome,Linux,desktop
1982922306734736460,Chrome,Android,mobile
3625388336199393256,Firefox,Windows,desktop
7455063974124636385,Chrome,iOS,tablet
5187671474409178153,Chrome,Android,mobile
4697674744990809143,Chrome,Macintosh,desktop
3638103956107835422,Chrome,Macintosh,desktop
689975324856739942,Chrome,Macintosh,desktop
1219325807742188295,Chrome,Macintosh,desktop
0015694432801235877,Chrome,Macintosh,desktop
5324270365925211209,Chrome,Macintosh,desktop
7314017156048253837,Chrome,Macintosh,desktop
7533805118137456529,Chrome,Macintosh,desktop
758577373703531857,Chrome,Macintosh,desktop
4295023008719306245,Chrome,Windows,desktop
0824646283836949461,Chrome,Linux,desktop
0832322939999728199,Chrome,Linux,desktop
7348043856224640094,Firefox,Windows,desktop
3907770685196037697,Chrome,Chrome OS,desktop
1677406339586950802,Safari,Macintosh,desktop
0403454456389348844,Chrome,Macintosh,desktop
9868339371386523708,Chrome,iOS,mobile
7108681342006406745,Chrome,Macintosh,desktop
6426372536562896996,Chrome,Android,mobile
3058241021846504096,Chrome,Android,mobile
373784500636702964,Chrome,Android,mobile
9795143290551478465,Chrome,Macintosh,desktop
5923605856827327918,Chrome,Macintosh,desktop
0981575239309066644,Chrome,Android,mobile
1626716998556233354,Chrome,Chrome OS,desktop
3661163348027738918,Chrome,Windows,desktop
8131745029417163398,Safari,iOS,mobile
5457341708050484439,Chrome,Macintosh,desktop
0690330955242089309,Chrome,Chrome OS,desktop
4488234939678302618,Chrome,Linux,desktop
8041179583157231807,Chrome,Macintosh,desktop
2694708692574296124,Chrome,Linux,desktop
3444514318939246165,Safari,Macintosh,desktop
5228340108314802662,Chrome,Windows,desktop
2882577556953103385,Chrome,Windows,desktop
7205403425666018308,Firefox,Macintosh,desktop
0161103620003490662,Chrome,Windows,desktop
23423439498373464,Chrome,Windows,desktop
3936844640958989282,Chrome,Windows,desktop
0341319689353253851,Chrome,Windows,desktop
2327929995090924019,Chrome,Macintosh,desktop
6800613735805802605,Chrome,Linux,desktop
105918627300418509,Safari,iOS,mobile
4798058133221713505,Chrome,Windows,desktop
5836331037143212564,Chrome,Linux,desktop
96828372717775055,Chrome,Android,mobile
7577555488698756006,Chrome,Macintosh,desktop
1599273251148489928,Chrome,Windows,desktop
5188974751841750198,Chrome,Windows,desktop
7275493482741180809,Chrome,Macintosh,desktop
326713960184415917,Chrome,Android,mobile
5719519864455942687,Safari,iOS,mobile
1003838192988579723,Edge,Windows,desktop
606435179693837147,Chrome,Windows,desktop
0482843755681270604,Chrome,Linux,desktop
4336586112200183177,Chrome,Macintosh,desktop
1630080920415753288,Chrome,Android,mobile
9267974830205623895,Chrome,Macintosh,desktop
4657065526573368452,Chrome,Windows,desktop
9060849750997331558,Firefox,Windows,desktop
5344667959214571153,Chrome,Windows,desktop
2716049628699698602,Safari,iOS,mobile
0261203701989483879,Chrome,Macintosh,desktop
2611645231825416631,Chrome,Windows,desktop
5697982501959734404,Chrome,Android,mobile
9133150929083418260,Chrome,Windows,desktop
7010462500294643960,Chrome,Chrome OS,desktop
1242181467370730486,Chrome,Macintosh,desktop
8708067857860380883,Chrome,Linux,desktop
0121227660543631149,Chrome,Windows,desktop
6526752225691972183,Chrome,Macintosh,desktop
0999951502366886191,Safari,iOS,mobile
759364034746328963,Chrome,Windows,desktop
3608196374724519087,Chrome,Linux,desktop
3320119973962642543,Chrome,Android,mobile
8109664436025857507,Chrome,Chrome OS,desktop
1644562297167206343,Chrome,Windows,desktop
6715732375285289961,Chrome,Windows,desktop
0174999012345482367,Chrome,Macintosh,desktop
1078366177591833433,Safari,iOS,mobile
9082112881592138849,Chrome,Android,mobile
871675557963907195,Chrome,Android,mobile
384088448748841648,Chrome,Macintosh,desktop
9715374816220032822,Safari,iOS,mobile
6446851903014760312,Chrome,Macintosh,desktop
4936144893588506157,Internet Explorer,Windows,desktop
7917704081634641311,Chrome,Macintosh,desktop
807191525675674136,Safari,iOS,mobile
464908394088842997,Chrome,Macintosh,desktop
3016857027452005187,Safari,iOS,tablet
4384582438292594523,Chrome,Android,mobile
4849884385056788691,Chrome,Windows,desktop
9446075047835972433,Chrome,Windows,desktop
4698004949564442325,Chrome,Linux,desktop
1631967168820223837,Chrome,Windows,desktop
665785595149092081,Safari,iOS,mobile
9035306047185052141,Chrome,Windows,desktop
8271170844108113200,Chrome,Macintosh,desktop
3823831209442004233,Chrome,Linux,desktop
1967121593241172100,Chrome,Macintosh,desktop
7866774640817178857,Chrome,Linux,desktop
7765335078471845903,Chrome,Macintosh,desktop
2371112886977263623,Chrome,Macintosh,desktop
4851694972796487097,Chrome,Linux,desktop
9993204973689965101,Chrome,Android,tablet
079785550312480399,Safari,iOS,mobile
843306899918749327,Chrome,Macintosh,desktop
3754515888221881941,Chrome,Linux,desktop
9650541762607480820,Chrome,Windows,desktop
6748817685338407600,Chrome,Macintosh,desktop
2296933856601873056,Internet Explorer,Windows,desktop
1033366144628740081,Chrome,Macintosh,desktop
7438743588318957122,Chrome,Windows,desktop
6394831228618183658,Chrome,Chrome OS,desktop
0437273981466271229,Chrome,Macintosh,desktop
4116055325627256034,Chrome,Macintosh,desktop
9743544249024499762,Chrome,Macintosh,desktop
0628708827036512143,Chrome,Macintosh,desktop
4701185974045728607,Chrome,Windows,desktop
8567974717569039751,Chrome,Macintosh,desktop
0382398254804709368,Chrome,Android,mobile
3369132208689322709,Chrome,Windows,desktop
057665938225418659,Chrome,Android,mobile
6294498685685853129,Chrome,Windows,desktop
4534107900812583124,Chrome,Android,mobile
1723981563106392466,Chrome,Macintosh,desktop
9220733487783253932,Chrome,Chrome OS,desktop
504527166889560577,Chrome,Macintosh,desktop
4384990792205822883,Firefox,Macintosh,desktop
1106555359375998536,Chrome,Macintosh,desktop
0541415792766009896,Chrome,iOS,mobile
1739823917347946740,Safari,Macintosh,desktop
350616841177147864,Chrome,Windows,desktop
2217418288172715379,Chrome,Macintosh,desktop
2478708775280238505,Chrome,Windows,desktop
7103321195030738247,Chrome,Linux,desktop
5106315619134282281,Chrome,Windows,desktop
3608467442254520408,Safari,Macintosh,desktop
7138879142579197491,Chrome,Macintosh,desktop
5117883250816491401,Chrome,Linux,desktop
9377768468469703794,Chrome,Android,mobile
2972472695838198418,Chrome,Macintosh,desktop
9065508646546984599,Chrome,Windows,desktop
5240826968570680211,Chrome,Android,mobile
7056870819058799369,Chrome,Chrome OS,desktop
481136536823294889,Chrome,Windows,desktop
3936844640958989282,Chrome,Windows,desktop
3890853151729449223,Chrome,Chrome OS,desktop
7051718074744690705,Chrome,Linux,desktop
7661113009266719556,Chrome,Macintosh,desktop
8844262168616364981,Chrome,Macintosh,desktop
368977670377176571,Chrome,Linux,desktop
7426174364050388533,Chrome,Macintosh,desktop
5946672336805397304,Chrome,Windows,desktop
2775333805699294537,Chrome,Windows,desktop
1669777926634508233,Safari,Macintosh,desktop
8346614539128137085,Chrome,Macintosh,desktop
2115386512530006397,Chrome,Macintosh,desktop
7708575291679364151,Chrome,Macintosh,desktop
3067333294832179853,Chrome,Linux,desktop
6030957980134486247,Chrome,Windows,desktop
6170265019437280323,Firefox,Macintosh,desktop
2652098492843037268,Chrome,Linux,desktop
7970801744441139347,Chrome,Windows,desktop
1403632269796083949,Chrome,Macintosh,desktop
5530732783475247643,Chrome,Chrome OS,desktop
6932408648900988870,Chrome,Windows,desktop
9358167394549270312,Chrome,Windows,desktop
4424921723551438567,Safari,Macintosh,desktop
1343892784443318387,Safari,iOS,tablet
172600853716850454,Chrome,Macintosh,desktop
7512789166007226631,Safari,Macintosh,desktop
8207362494606500607,Safari,iOS,mobile
711432706839362141,Chrome,Macintosh,desktop
0750611892691038410,Chrome,Macintosh,desktop
5540991611284577933,Chrome,Macintosh,desktop
7002235067002565049,Edge,Windows,desktop
8438615943594533815,Chrome,Macintosh,desktop
8303744919817460764,Chrome,Chrome OS,desktop
8640435391065630517,Chrome,Android,mobile
4890594302415608916,Safari,iOS,mobile
5759903822809248402,Safari,iOS,tablet
8782513642833614098,Chrome,Windows,desktop
1924553142818813976,Chrome,Macintosh,desktop
0161103620003490662,Chrome,Windows,desktop
3709999704956265072,Chrome,Linux,desktop
7816450317892721085,Chrome,Windows,desktop
9883000500364208923,Chrome,Macintosh,desktop
211067802416163706,YaBrowser,Windows,desktop
3047968373711472876,Chrome,Chrome OS,desktop
3452302189809534579,Chrome,Macintosh,desktop
3738755573768380864,Safari,iOS,mobile
5267883768915568721,Chrome,Macintosh,desktop
1302490964849403553,Chrome,Windows,desktop
2795402033797871386,Chrome,Macintosh,desktop
0609326100006985856,Safari,iOS,mobile
109478348209300995,Edge,Windows,desktop
0887754557131989783,Chrome,Macintosh,desktop
3347789288868084300,Chrome,Macintosh,desktop
4941770276769705740,Chrome,Macintosh,desktop
9678469301590366177,Chrome,Macintosh,desktop
185886403613744695,Chrome,Windows,desktop
0667801358610608122,Chrome,Android,mobile
4184527786990826304,Chrome,Chrome OS,desktop
6091498163535424271,Chrome,Macintosh,desktop
6257871557133780030,Chrome,Windows,desktop
1076513025655678778,Chrome,Chrome OS,desktop
31490038171426725,Chrome,Windows,desktop
1662833536389293085,Chrome,Chrome OS,desktop
001747219368939605,Chrome,Windows,desktop
4758564487125779949,Chrome,Macintosh,desktop
6519373117236859321,Chrome,Windows,desktop
5129303495459541871,Chrome,Macintosh,desktop
6203401114057579951,Chrome,Chrome OS,desktop
0451515753972272081,Firefox,Macintosh,desktop
3606096616141145329,Edge,Windows,desktop
1504442874052757742,Chrome,Macintosh,desktop
7781987324145448581,Chrome,Chrome OS,desktop
8144887345147571750,Chrome,Macintosh,desktop
5719213140589922004,Chrome,Macintosh,desktop
