fullVisitorID,visitNumber,visitStartTime,socialEngagementType,channelGrouping
1099720071861739539,2,1470087689,Not Socially Engaged,Direct
3787134985295919795,2,1470067433,Not Socially Engaged,Organic Search
1343892784443318387,2,1470114994,Not Socially Engaged,Direct
825509565309716229,5,1470057334,Not Socially Engaged,Organic Search
0486562139346467089,1,1470069216,Not Socially Engaged,Organic Search
8743175383102521583,1,1470077022,Not Socially Engaged,Organic Search
999700442444678323,2,1470087885,Not Socially Engaged,Organic Search
9035306047185052141,25,1470060574,Not Socially Engaged,Organic Search
8698531054438587635,4,1470082122,Not Socially Engaged,Organic Search
0640111497078551143,1,1470095752,Not Socially Engaged,Paid Search
4530126874298409636,2,1470104161,Not Socially Engaged,Direct
0344452283390306758,1,1470069185,Not Socially Engaged,Organic Search
0382398254804709368,3,1470114938,Not Socially Engaged,Organic Search
8568474718223370752,3,1470059910,Not Socially Engaged,Referral
558025075151655343,1,1470115503,Not Socially Engaged,Organic Search
5392755432370247158,1,1470079591,Not Socially Engaged,Organic Search
3751823672052015547,25,1470083759,Not Socially Engaged,Direct
9017498520228491211,2,1470096425,Not Socially Engaged,Direct
8846289716943240767,1,1470082536,Not Socially Engaged,Organic Search
6787410765100329612,1,1470104318,Not Socially Engaged,Direct
3744175328919003297,1,1470106099,Not Socially Engaged,Organic Search
6219287332213749748,3,1470041378,Not Socially Engaged,Organic Search
0721240306323694297,2,1470104649,Not Socially Engaged,Paid Search
3731478369788901995,1,1470077743,Not Socially Engaged,Organic Search
0823708422231226277,1,1470066291,Not Socially Engaged,Direct
8436426603099391262,10,1470069046,Not Socially Engaged,Referral
5221215576603815484,4,1470113462,Not Socially Engaged,Organic Search
6981691734539296402,6,1470092162,Not Socially Engaged,Referral
121295653097861536,1,1470095488,Not Socially Engaged,Organic Search
3787134985295919795,1,1470065280,Not Socially Engaged,Organic Search
6062692528026913835,2,1470093247,Not Socially Engaged,Referral
5820481070166950233,1,1470083497,Not Socially Engaged,Direct
6202551162320501793,1,1470036980,Not Socially Engaged,Organic Search
6359841587657357338,1,1470067810,Not Socially Engaged,Direct
7545615511078513943,1,1470099265,Not Socially Engaged,Direct
5882258963347216049,1,1470037302,Not Socially Engaged,Organic Search
1188397610560498241,1,1470099835,Not Socially Engaged,Organic Search
7009176709240157276,163,1470105780,Not Socially Engaged,Direct
2869886758561013518,1,1470081336,Not Socially Engaged,Direct
584186909754430703,1,1470111953,Not Socially Engaged,Direct
5622119904627470425,1,1470071464,Not Socially Engaged,Direct
0824839726118485274,113,1470072711,Not Socially Engaged,Organic Search
8675769146751606586,2,1470049669,Not Socially Engaged,Direct
4904969714374913266,1,1470045942,Not Socially Engaged,Organic Search
3970991392089882251,1,1470083557,Not Socially Engaged,Referral
9872679951861022740,1,1470101274,Not Socially Engaged,Organic Search
3463054183716306407,5,1470072351,Not Socially Engaged,Direct
7275493482741180809,4,1470088168,Not Socially Engaged,Referral
6637957997898535918,2,1470053833,Not Socially Engaged,Direct
6362237262934311328,2,1470092449,Not Socially Engaged,Direct
9065074234812691512,1,1470102273,Not Socially Engaged,Organic Search
9878962654812700271,1,1470089451,Not Socially Engaged,Referral
5231073281895209426,2,1470071358,Not Socially Engaged,Direct
6842770750697615080,1,1470044455,Not Socially Engaged,Referral
9190094819702613002,2,1470098867,Not Socially Engaged,Referral
8952006223234542590,1,1470044563,Not Socially Engaged,Organic Search
7428592908976647992,1,1470081283,Not Socially Engaged,Direct
7157626079567895669,26,1470066201,Not Socially Engaged,Display
358293611905184240,1,1470043750,Not Socially Engaged,Organic Search
8825722961059493275,1,1470078818,Not Socially Engaged,Organic Search
5193965013430455128,7,1470092460,Not Socially Engaged,Referral
0793874482369095202,1,1470062355,Not Socially Engaged,Affiliates
1817256435818850257,39,1470089794,Not Socially Engaged,Organic Search
4005605575873365444,7,1470074146,Not Socially Engaged,Referral
2509714289037323244,3,1470064486,Not Socially Engaged,Direct
4642712737855870554,7,1470063363,Not Socially Engaged,Paid Search
3843819088097691729,1,1470111338,Not Socially Engaged,Direct
9993178476401172532,1,1470107269,Not Socially Engaged,Organic Search
1060857658642961259,1,1470101806,Not Socially Engaged,Organic Search
1439150231069374974,5,1470118704,Not Socially Engaged,Paid Search
674626656635666685,1,1470049093,Not Socially Engaged,Organic Search
1368220609907191551,1,1470075752,Not Socially Engaged,Referral
9682363348505503136,1,1470118867,Not Socially Engaged,Direct
4890176689513443468,2,1470114566,Not Socially Engaged,Referral
8821893673728116223,2,1470077442,Not Socially Engaged,Organic Search
2519501167659119738,1,1470112019,Not Socially Engaged,Organic Search
9849723138964482903,1,1470036877,Not Socially Engaged,Direct
3393266984599791046,1,1470100070,Not Socially Engaged,Referral
6370895626479501172,2,1470107044,Not Socially Engaged,Direct
4259087156506051404,1,1470082063,Not Socially Engaged,Organic Search
7688525234045688740,1,1470107194,Not Socially Engaged,Organic Search
494121189234839790,1,1470063181,Not Socially Engaged,Referral
4652287826732444235,28,1470081292,Not Socially Engaged,Direct
0127234764050343351,1,1470051098,Not Socially Engaged,Organic Search
5166572114676000975,2,1470089122,Not Socially Engaged,Referral
80533986466271934,4,1470079574,Not Socially Engaged,Display
2158742461682231369,1,1470104350,Not Socially Engaged,Direct
8553346870455443503,1,1470041675,Not Socially Engaged,Organic Search
834799491548640007,49,1470072443,Not Socially Engaged,Organic Search
4834118369822066721,2,1470069452,Not Socially Engaged,Referral
2842895618476559410,1,1470062008,Not Socially Engaged,Direct
8500478825159566764,1,1470103385,Not Socially Engaged,Direct
4741032916677179123,1,1470116480,Not Socially Engaged,Direct
9779770777585916245,1,1470089350,Not Socially Engaged,Direct
6960772894161809181,1,1470087036,Not Socially Engaged,Direct
1613869085928837147,1,1470099770,Not Socially Engaged,Direct
2519663407845424469,1,1470113723,Not Socially Engaged,Organic Search
0728735440890222177,1,1470090271,Not Socially Engaged,Direct
7915917649445719453,3,1470089230,Not Socially Engaged,Direct
5545865256703329577,1,1470042416,Not Socially Engaged,Referral
2213191339240555860,103,1470067360,Not Socially Engaged,Referral
8779215719666644170,1,1470060010,Not Socially Engaged,Direct
5173035161858804497,1,1470057291,Not Socially Engaged,Organic Search
0242260641211986209,1,1470102520,Not Socially Engaged,Referral
8132563834178974953,1,1470091997,Not Socially Engaged,Direct
3907770685196037697,3,1470052145,Not Socially Engaged,Organic Search
8597027410485057111,2,1470066089,Not Socially Engaged,Referral
1900406563824931678,1,1470081748,Not Socially Engaged,Organic Search
708182136272724140,4,1470107444,Not Socially Engaged,Referral
6604767229049497201,1,1470115142,Not Socially Engaged,Referral
9976748477294164726,1,1470090428,Not Socially Engaged,Direct
0703071257327430346,1,1470077052,Not Socially Engaged,Referral
0803766777397114425,1,1470060290,Not Socially Engaged,Direct
2779366116674268856,5,1470107000,Not Socially Engaged,Direct
9493249883710631149,1,1470082435,Not Socially Engaged,Direct
9085218887779640980,1,1470063171,Not Socially Engaged,Direct
3547717276163025378,2,1470061015,Not Socially Engaged,Direct
8422029627538180622,1,1470078119,Not Socially Engaged,Referral
3517720271768758077,1,1470109960,Not Socially Engaged,Direct
1882401858291805493,1,1470043787,Not Socially Engaged,Referral
5271693154474208456,5,1470070138,Not Socially Engaged,Referral
6579047524938382825,1,1470078211,Not Socially Engaged,Direct
789678791378176941,1,1470088285,Not Socially Engaged,Direct
6966646264698722317,1,1470112214,Not Socially Engaged,Organic Search
9533571845569362552,1,1470086110,Not Socially Engaged,Direct
8430240768850820716,6,1470064191,Not Socially Engaged,Referral
5310912563447452038,2,1470107444,Not Socially Engaged,Referral
579368549092174659,1,1470094150,Not Socially Engaged,Organic Search
1076513025655678778,2,1470081016,Not Socially Engaged,Referral
7505340672525128933,1,1470101083,Not Socially Engaged,Referral
406461230962938817,1,1470095760,Not Socially Engaged,Referral
7270929847039069200,1,1470095251,Not Socially Engaged,Direct
1978627755211436010,1,1470119108,Not Socially Engaged,Organic Search
116992034719575555,1,1470094409,Not Socially Engaged,Direct
4961413465713332680,1,1470072170,Not Socially Engaged,Direct
7666394839176567102,1,1470115733,Not Socially Engaged,Organic Search
9801276214964695322,69,1470081945,Not Socially Engaged,Organic Search
5014443002776077299,1,1470071834,Not Socially Engaged,Direct
365594903822101283,1,1470058371,Not Socially Engaged,Direct
7629784540272591367,1,1470045468,Not Socially Engaged,Direct
1641476689503533321,1,1470053712,Not Socially Engaged,Direct
5430848282423196998,16,1470043841,Not Socially Engaged,Direct
5079847790435547812,2,1470037326,Not Socially Engaged,Direct
09643929456640790,1,1470074014,Not Socially Engaged,Referral
8069796630919527574,1,1470068044,Not Socially Engaged,Direct
3635754152765180885,1,1470068475,Not Socially Engaged,Direct
0521800236999423025,1,1470070169,Not Socially Engaged,Organic Search
1769164681262367221,1,1470083395,Not Socially Engaged,Referral
4356368670265924289,1,1470066890,Not Socially Engaged,Organic Search
3142889679741524960,2,1470089916,Not Socially Engaged,Referral
4033613882118163102,1,1470102227,Not Socially Engaged,Organic Search
0657885132759378144,1,1470115411,Not Socially Engaged,Direct
4220154440291082400,1,1470097460,Not Socially Engaged,Organic Search
6787160235338713122,1,1470080791,Not Socially Engaged,Direct
9290558425075999936,1,1470055386,Not Socially Engaged,Organic Search
2598179390836943384,1,1470084344,Not Socially Engaged,Direct
4174312721111666274,1,1470074662,Not Socially Engaged,Referral
2979602448351162096,1,1470076884,Not Socially Engaged,Referral
6422467164885658062,1,1470087754,Not Socially Engaged,Direct
1276631666870427430,1,1470042235,Not Socially Engaged,Organic Search
0462674042152519432,1,1470089934,Not Socially Engaged,Organic Search
4237630977862841427,1,1470073266,Not Socially Engaged,Organic Search
8998597645420885788,1,1470059856,Not Socially Engaged,Direct
4500488192672905042,1,1470073673,Not Socially Engaged,Direct
4572584574023002147,1,1470078683,Not Socially Engaged,Direct
5260117902407993152,1,1470088585,Not Socially Engaged,Direct
3514489728933698435,1,1470095957,Not Socially Engaged,Direct
3318240400202817641,1,1470068668,Not Socially Engaged,Direct
835261853962402017,1,1470081063,Not Socially Engaged,Direct
1183405708492269586,5,1470100243,Not Socially Engaged,Referral
9054991367522580751,1,1470094834,Not Socially Engaged,Organic Search
0957124016598662665,3,1470095705,Not Socially Engaged,Referral
8585175393719798471,10,1470077948,Not Socially Engaged,Paid Search
1723909349418867455,2,1470115542,Not Socially Engaged,Direct
1352184627763482886,1,1470074357,Not Socially Engaged,Direct
8879965876172125518,8,1470102548,Not Socially Engaged,Referral
4421723853101106079,6,1470082416,Not Socially Engaged,Organic Search
1492217702561732960,1,1470079638,Not Socially Engaged,Direct
4831806810656894971,1,1470066024,Not Socially Engaged,Direct
7110111563027445389,8,1470076407,Not Socially Engaged,Organic Search
6288323169575819768,4,1470076127,Not Socially Engaged,Direct
7298538238612725446,2,1470100824,Not Socially Engaged,Organic Search
5747223272231686932,1,1470117079,Not Socially Engaged,Organic Search
3634155159894530540,2,1470121149,Not Socially Engaged,Referral
9425872524748709682,1,1470077532,Not Socially Engaged,Direct
0913627188881033241,2,1470068962,Not Socially Engaged,Direct
7533805118137456529,2,1470104242,Not Socially Engaged,Direct
2706234469572620246,1,1470037804,Not Socially Engaged,Organic Search
5170796697724154592,10,1470081200,Not Socially Engaged,Organic Search
7077911844453000726,1,1470042301,Not Socially Engaged,Referral
6787843339759445862,2,1470082463,Not Socially Engaged,Organic Search
2821399818599619907,1,1470080314,Not Socially Engaged,Referral
4415481794449507521,1,1470079496,Not Socially Engaged,Organic Search
759030695331234675,1,1470078505,Not Socially Engaged,Referral
1330052349357162314,1,1470083294,Not Socially Engaged,Direct
5800900099410986003,6,1470090174,Not Socially Engaged,Referral
3330738802699065081,3,1470079986,Not Socially Engaged,Referral
2111179064713208280,1,1470089682,Not Socially Engaged,Referral
0959147575305606864,1,1470096512,Not Socially Engaged,Direct
2452888129343523931,1,1470086347,Not Socially Engaged,Direct
8802933683938257671,1,1470064585,Not Socially Engaged,Direct
505690627766188392,1,1470062934,Not Socially Engaged,Organic Search
8644414483864627655,2,1470078218,Not Socially Engaged,Organic Search
2047874584272208283,180,1470066070,Not Socially Engaged,Direct
138537716219788506,15,1470115666,Not Socially Engaged,Referral
9847625927626901147,1,1470086924,Not Socially Engaged,Direct
3907770685196037697,2,1470050008,Not Socially Engaged,Organic Search
5961761097538346074,1,1470113300,Not Socially Engaged,Organic Search
5404227027418054953,1,1470083466,Not Socially Engaged,Organic Search
4258053097075989576,1,1470119268,Not Socially Engaged,Organic Search
3935754171050797809,1,1470090451,Not Socially Engaged,Direct
0533043126087723849,1,1470077037,Not Socially Engaged,Organic Search
5491202478171376258,2,1470069077,Not Socially Engaged,Direct
9377639114402198049,1,1470086968,Not Socially Engaged,Organic Search
2976178532750719771,3,1470085324,Not Socially Engaged,Organic Search
1887525536715312831,1,1470095758,Not Socially Engaged,Direct
4151172324885744289,2,1470080039,Not Socially Engaged,Direct
0401568549668876404,1,1470082537,Not Socially Engaged,Direct
1889240718310950469,4,1470075837,Not Socially Engaged,Referral
2703368790658666184,1,1470115254,Not Socially Engaged,Direct
9268008200873581059,1,1470096796,Not Socially Engaged,Referral
3026163435419099099,1,1470058874,Not Socially Engaged,Organic Search
0946568304929736127,1,1470091208,Not Socially Engaged,Direct
2331572485952025433,4,1470081685,Not Socially Engaged,Referral
8158003312239603025,1,1470078793,Not Socially Engaged,Referral
1074012291655531532,1,1470059591,Not Socially Engaged,Direct
925629734318379812,1,1470087586,Not Socially Engaged,Direct
0341319689353253851,3,1470058880,Not Socially Engaged,Direct
1605625902271121000,1,1470040969,Not Socially Engaged,Organic Search
0116436763018562710,2,1470088653,Not Socially Engaged,Direct
000722514342430295,1,1470093727,Not Socially Engaged,Direct
8319899131077539989,1,1470089534,Not Socially Engaged,Organic Search
2317143886543006089,1,1470102692,Not Socially Engaged,Organic Search
9782559705146002237,6,1470095098,Not Socially Engaged,Referral
756857572086966774,2,1470067378,Not Socially Engaged,Referral
7687406337661702709,24,1470063713,Not Socially Engaged,Direct
925450609847802842,5,1470105152,Not Socially Engaged,Organic Search
0161103620003490662,4,1470071941,Not Socially Engaged,Paid Search
7718623669497357235,1,1470035081,Not Socially Engaged,Organic Search
0459084326224596664,1,1470093534,Not Socially Engaged,Direct
7334027332650026089,8,1470086482,Not Socially Engaged,Display
4572584574023002147,2,1470078768,Not Socially Engaged,Referral
3444514318939246165,2,1470075863,Not Socially Engaged,Organic Search
7039712579733841787,1,1470117724,Not Socially Engaged,Referral
7503372490716009432,14,1470064320,Not Socially Engaged,Organic Search
9677816246706455875,1,1470074871,Not Socially Engaged,Organic Search
6444666378259866837,1,1470072719,Not Socially Engaged,Referral
6135774816150725612,1,1470082627,Not Socially Engaged,Direct
8198513440170816734,1,1470071197,Not Socially Engaged,Referral
4174673980383629957,1,1470062706,Not Socially Engaged,Organic Search
2499073159297778675,5,1470072344,Not Socially Engaged,Organic Search
6375532442615564447,1,1470052949,Not Socially Engaged,Organic Search
4691971393212178659,2,1470104123,Not Socially Engaged,Direct
1817256435818850257,40,1470092077,Not Socially Engaged,Organic Search
7815166845235232089,1,1470097761,Not Socially Engaged,Direct
2620481260679179875,1,1470061388,Not Socially Engaged,Organic Search
8280805974080139588,1,1470113824,Not Socially Engaged,Organic Search
494915149919585281,1,1470082448,Not Socially Engaged,Referral
3997937353086624166,1,1470109582,Not Socially Engaged,Organic Search
6595734076084637031,1,1470105825,Not Socially Engaged,Direct
0872675904537373864,2,1470081918,Not Socially Engaged,Referral
3105496268124422764,1,1470113324,Not Socially Engaged,Organic Search
6401018550057682991,1,1470049854,Not Socially Engaged,Organic Search
5655816441964563984,21,1470084548,Not Socially Engaged,Direct
4703900907627844850,1,1470066131,Not Socially Engaged,Direct
0396486246551917147,1,1470094849,Not Socially Engaged,Direct
3269929874874638846,1,1470105289,Not Socially Engaged,Direct
3057842967445471784,12,1470095359,Not Socially Engaged,Organic Search
7205449092152064425,1,1470071016,Not Socially Engaged,Direct
9760803449256875420,1,1470100236,Not Socially Engaged,Organic Search
9282337552638739171,1,1470077094,Not Socially Engaged,Referral
7335387188572255149,1,1470070656,Not Socially Engaged,Referral
9576613996350682765,1,1470116709,Not Socially Engaged,Direct
4590171872917314050,1,1470112099,Not Socially Engaged,Organic Search
9966493560312992908,1,1470064909,Not Socially Engaged,Direct
3126493267998651969,2,1470063850,Not Socially Engaged,Referral
76744637389790896,1,1470064990,Not Socially Engaged,Referral
8377004764015899559,2,1470061544,Not Socially Engaged,Organic Search
7007431728473096243,1,1470120268,Not Socially Engaged,Organic Search
9152536486803427969,1,1470119115,Not Socially Engaged,Direct
5006195237960872707,1,1470056706,Not Socially Engaged,Direct
8562504397643086482,1,1470064545,Not Socially Engaged,Direct
3267289685695286777,1,1470070209,Not Socially Engaged,Direct
6891579531332176887,1,1470085613,Not Socially Engaged,Direct
3580452052961178709,3,1470071912,Not Socially Engaged,Referral
0354092695831923417,1,1470109020,Not Socially Engaged,Direct
5761840295662617853,6,1470041543,Not Socially Engaged,Organic Search
5608218146631757534,4,1470090101,Not Socially Engaged,Direct
8354961261344283153,3,1470098272,Not Socially Engaged,Referral
098821159809198055,6,1470074840,Not Socially Engaged,Organic Search
4621003505955733083,1,1470084619,Not Socially Engaged,Referral
5457966268582392647,3,1470090486,Not Socially Engaged,Organic Search
4081324366412530455,3,1470064685,Not Socially Engaged,Direct
8443152750706781913,1,1470070390,Not Socially Engaged,Direct
7335387188572255149,2,1470074950,Not Socially Engaged,Referral
9509805417263426377,1,1470099831,Not Socially Engaged,Direct
3747893768799586469,1,1470076351,Not Socially Engaged,Direct
0476336740806624508,1,1470107997,Not Socially Engaged,Organic Search
6864637730296714893,1,1470048884,Not Socially Engaged,Direct
1625612495467726234,1,1470100244,Not Socially Engaged,Direct
7854260418222913384,1,1470086475,Not Socially Engaged,Direct
1905929349583388322,1,1470091415,Not Socially Engaged,Referral
3063898855332866361,1,1470105187,Not Socially Engaged,Direct
5469592340519286418,1,1470110854,Not Socially Engaged,Direct
3662786672553497596,1,1470076930,Not Socially Engaged,Organic Search
2363816821838994323,1,1470089435,Not Socially Engaged,Referral
5716663734226378541,1,1470076020,Not Socially Engaged,Affiliates
390423349709954340,1,1470108016,Not Socially Engaged,Referral
4851076560952390809,1,1470085041,Not Socially Engaged,Organic Search
2131831853796087522,1,1470113819,Not Socially Engaged,Direct
0174999012345482367,2,1470076242,Not Socially Engaged,Referral
6440320050638782751,1,1470063516,Not Socially Engaged,Organic Search
1856749147915772585,74,1470102565,Not Socially Engaged,Organic Search
0709272184743066560,2,1470094433,Not Socially Engaged,Organic Search
8237595922099299023,1,1470093166,Not Socially Engaged,Referral
7451681150246556439,1,1470063289,Not Socially Engaged,Direct
0593150394512575588,36,1470070913,Not Socially Engaged,Direct
3130645655077179934,2,1470109392,Not Socially Engaged,Direct
2343977100441805952,1,1470098348,Not Socially Engaged,Referral
2276230046118857151,6,1470092303,Not Socially Engaged,Referral
8344032354768501869,2,1470093645,Not Socially Engaged,Referral
3522280126516023952,1,1470108385,Not Socially Engaged,Direct
3910500230136916660,1,1470096733,Not Socially Engaged,Direct
6744697227424119304,1,1470091725,Not Socially Engaged,Organic Search
6211934679344931624,1,1470120895,Not Socially Engaged,Direct
1749128084828375108,1,1470092216,Not Socially Engaged,Direct
0212479256983706107,1,1470072529,Not Socially Engaged,Direct
8590555186939402677,19,1470078348,Not Socially Engaged,Direct
0553598010587869756,4,1470107451,Not Socially Engaged,Referral
603373162136570069,3,1470070474,Not Socially Engaged,Direct
2586654881267402138,1,1470078387,Not Socially Engaged,Direct
1750514406451146951,1,1470085647,Not Socially Engaged,Referral
6828760778804376817,1,1470074346,Not Socially Engaged,Direct
593607024576642131,3,1470065634,Not Socially Engaged,Organic Search
2215681073032687184,1,1470085235,Not Socially Engaged,Direct
8719072487533399733,1,1470096128,Not Socially Engaged,Direct
2549728492461833238,1,1470047379,Not Socially Engaged,Organic Search
9878962654812700271,2,1470091905,Not Socially Engaged,Referral
636466535079841240,1,1470082164,Not Socially Engaged,Direct
2820652514257258467,1,1470055343,Not Socially Engaged,Organic Search
2511766854857818700,1,1470083372,Not Socially Engaged,Direct
5700972772870493639,2,1470095209,Not Socially Engaged,Direct
7027129382380641443,1,1470109817,Not Socially Engaged,Organic Search
1292918695745531394,2,1470088982,Not Socially Engaged,Direct
6847217672772231661,1,1470083881,Not Socially Engaged,Direct
6926161835587768681,1,1470075248,Not Socially Engaged,Direct
762295638846925704,1,1470080719,Not Socially Engaged,Direct
1757409464136963580,3,1470035457,Not Socially Engaged,Organic Search
0167277143072555656,1,1470092822,Not Socially Engaged,Referral
8583756899584588368,1,1470073338,Not Socially Engaged,Referral
9518384605133293021,1,1470079153,Not Socially Engaged,Referral
0413919359640783978,3,1470092800,Not Socially Engaged,Organic Search
2889377910436375292,1,1470109005,Not Socially Engaged,Referral
4724930710879594248,1,1470086845,Not Socially Engaged,Referral
4199367541035485910,1,1470109573,Not Socially Engaged,Organic Search
987914185693056506,1,1470048543,Not Socially Engaged,Direct
0901040675559923659,1,1470079766,Not Socially Engaged,Organic Search
3884791411084599214,2,1470101294,Not Socially Engaged,Referral
5773173424977778287,1,1470081521,Not Socially Engaged,Direct
798691020264746304,1,1470069330,Not Socially Engaged,Referral
6366316989927168370,6,1470094797,Not Socially Engaged,Organic Search
5541567883792921967,3,1470076937,Not Socially Engaged,Referral
5760753352577829144,1,1470078693,Not Socially Engaged,Direct
3907770685196037697,1,1470048486,Not Socially Engaged,Direct
8505854664680870109,1,1470099754,Not Socially Engaged,Organic Search
258194871216000308,1,1470059595,Not Socially Engaged,Organic Search
5761840295662617853,5,1470039214,Not Socially Engaged,Organic Search
9159285916228638348,2,1470083542,Not Socially Engaged,Referral
9116763220411859349,1,1470078321,Not Socially Engaged,Organic Search
0813074379715507848,1,1470083641,Not Socially Engaged,Organic Search
3881791618115740942,4,1470094880,Not Socially Engaged,Referral
5705587814808849172,1,1470091778,Not Socially Engaged,Referral
6295937732413829157,1,1470035892,Not Socially Engaged,Organic Search
8741658912440878935,1,1470065574,Not Socially Engaged,Direct
2775333805699294537,11,1470063140,Not Socially Engaged,Direct
2213319842456651432,1,1470117007,Not Socially Engaged,Organic Search
1856237131266550302,2,1470084844,Not Socially Engaged,Referral
5604003575246779979,3,1470073289,Not Socially Engaged,Referral
8542570651342039948,1,1470110748,Not Socially Engaged,Organic Search
174711949982221362,1,1470071371,Not Socially Engaged,Referral
2310283151871955061,1,1470058869,Not Socially Engaged,Referral
0513367219376405875,1,1470086612,Not Socially Engaged,Referral
4241418287933709447,11,1470084881,Not Socially Engaged,Referral
2506112552623796443,2,1470079900,Not Socially Engaged,Referral
1094601935519168096,1,1470119307,Not Socially Engaged,Direct
7192936906150446002,7,1470081898,Not Socially Engaged,Referral
1982922306734736460,3,1470070391,Not Socially Engaged,Organic Search
3625388336199393256,1,1470118071,Not Socially Engaged,Organic Search
7455063974124636385,1,1470080788,Not Socially Engaged,Organic Search
5187671474409178153,1,1470108135,Not Socially Engaged,Direct
4697674744990809143,1,1470108660,Not Socially Engaged,Organic Search
3638103956107835422,1,1470075361,Not Socially Engaged,Referral
689975324856739942,2,1470089346,Not Socially Engaged,Referral
1219325807742188295,13,1470111324,Not Socially Engaged,Referral
0015694432801235877,1,1470043732,Not Socially Engaged,Direct
5324270365925211209,1,1470085179,Not Socially Engaged,Direct
7314017156048253837,1,1470046384,Not Socially Engaged,Direct
7533805118137456529,1,1470090132,Not Socially Engaged,Direct
758577373703531857,2,1470068214,Not Socially Engaged,Referral
4295023008719306245,2,1470086953,Not Socially Engaged,Direct
0824646283836949461,1,1470083135,Not Socially Engaged,Organic Search
0832322939999728199,1,1470088875,Not Socially Engaged,Referral
7348043856224640094,1,1470041640,Not Socially Engaged,Organic Search
3907770685196037697,4,1470084579,Not Socially Engaged,Organic Search
1677406339586950802,1,1470050586,Not Socially Engaged,Organic Search
0403454456389348844,3,1470120817,Not Socially Engaged,Organic Search
9868339371386523708,1,1470085780,Not Socially Engaged,Direct
7108681342006406745,1,1470078346,Not Socially Engaged,Referral
6426372536562896996,3,1470099765,Not Socially Engaged,Paid Search
3058241021846504096,1,1470058488,Not Socially Engaged,Organic Search
373784500636702964,1,1470069876,Not Socially Engaged,Organic Search
9795143290551478465,2,1470096501,Not Socially Engaged,Referral
5923605856827327918,1,1470089841,Not Socially Engaged,Direct
0981575239309066644,1,1470095593,Not Socially Engaged,Organic Search
1626716998556233354,2,1470111152,Not Socially Engaged,Referral
3661163348027738918,3,1470110467,Not Socially Engaged,Organic Search
8131745029417163398,1,1470110821,Not Socially Engaged,Direct
5457341708050484439,2,1470094419,Not Socially Engaged,Referral
0690330955242089309,1,1470113432,Not Socially Engaged,Referral
4488234939678302618,7,1470103518,Not Socially Engaged,Referral
8041179583157231807,1,1470062678,Not Socially Engaged,Direct
2694708692574296124,1,1470089156,Not Socially Engaged,Referral
3444514318939246165,3,1470085675,Not Socially Engaged,Organic Search
5228340108314802662,1,1470080993,Not Socially Engaged,Organic Search
2882577556953103385,1,1470097181,Not Socially Engaged,Organic Search
7205403425666018308,1,1470065936,Not Socially Engaged,Organic Search
0161103620003490662,3,1470066086,Not Socially Engaged,Paid Search
23423439498373464,1,1470086603,Not Socially Engaged,Organic Search
3936844640958989282,2,1470106061,Not Socially Engaged,Organic Search
0341319689353253851,4,1470063205,Not Socially Engaged,Direct
2327929995090924019,2,1470075354,Not Socially Engaged,Referral
6800613735805802605,1,1470091332,Not Socially Engaged,Direct
105918627300418509,1,1470104784,Not Socially Engaged,Organic Search
4798058133221713505,1,1470035161,Not Socially Engaged,Organic Search
5836331037143212564,3,1470092711,Not Socially Engaged,Direct
96828372717775055,1,1470071468,Not Socially Engaged,Direct
